
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
1,1,2013-09-08,33-255,ARI,@,STL,L 24-27,*,26,40,65.00,327,2,1,96.6,8.18,8.05,0,0,,0,0.0,0,0
2,2,2013-09-15,33-262,ARI,,DET,W 25-21,*,22,39,56.41,248,1,1,73.5,6.36,5.72,2,-2,-1.00,0,0.0,0,0
3,3,2013-09-22,33-269,ARI,@,NOR,L 7-31,*,18,35,51.43,187,0,2,43.4,5.34,2.77,0,0,,0,0.0,0,0
4,4,2013-09-29,33-276,ARI,@,TAM,W 13-10,*,21,38,55.26,248,1,2,62.2,6.53,4.68,4,6,1.50,0,0.0,0,0
5,5,2013-10-06,33-283,ARI,,CAR,W 22-6,*,19,28,67.86,175,1,3,57.0,6.25,2.14,3,-3,-1.00,0,0.0,0,1
6,6,2013-10-13,33-290,ARI,@,SFO,L 20-32,*,25,41,60.98,298,2,2,79.1,7.27,6.05,0,0,,0,0.0,0,0
7,7,2013-10-17,33-294,ARI,,SEA,L 22-34,*,30,45,66.67,258,1,2,70.4,5.73,4.18,2,5,2.50,0,0.0,0,0
8,8,2013-10-27,33-304,ARI,,ATL,W 27-13,*,13,18,72.22,172,2,1,116.0,9.56,9.28,1,9,9.00,0,0.0,0,0
9,9,2013-11-10,33-318,ARI,,HOU,W 27-24,*,20,32,62.50,241,2,1,93.4,7.53,7.38,2,-2,-1.00,0,0.0,1,0
10,10,2013-11-17,33-325,ARI,@,JAX,W 27-14,*,30,42,71.43,419,2,0,119.0,9.98,10.93,3,-3,-1.00,0,0.0,0,0
11,11,2013-11-24,33-332,ARI,,IND,W 40-11,*,26,37,70.27,314,2,0,114.0,8.49,9.57,0,0,,0,0.0,0,0
12,12,2013-12-01,33-339,ARI,@,PHI,L 21-24,*,24,41,58.54,302,3,2,85.6,7.37,6.63,1,-1,-1.00,0,0.0,0,0
13,13,2013-12-08,33-346,ARI,,STL,W 30-10,*,27,32,84.38,269,1,0,112.1,8.41,9.03,1,-1,-1.00,0,0.0,0,0
14,14,2013-12-15,33-353,ARI,@,TEN,W 37-34,*,20,30,66.67,231,1,0,100.8,7.70,8.37,2,-1,-0.50,0,0.0,0,0
15,15,2013-12-22,33-360,ARI,@,SEA,W 17-10,*,13,25,52.00,178,1,4,48.8,7.12,0.72,5,-3,-0.60,0,0.0,0,0
16,16,2013-12-29,34-002,ARI,,SFO,L 20-23,*,28,49,57.14,407,2,1,89.4,8.31,8.20,1,-1,-1.00,0,0.0,0,0
,,16 Games,,,,,10-6-0,,362,572,63.29,4274,24,22,83.9,7.47,6.58,27,3,0.11,0,0.0,1,1
