
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,8,2011-11-06,23-234,ARI,,STL,W 19-13,*,20,35,57.14,222,1,0,85.7,6.34,6.91,4,38,9.50,0
2,9,2011-11-13,23-241,ARI,@,PHI,W 21-17,*,21,40,52.50,315,3,2,82.8,7.88,7.13,4,15,3.75,0
3,10,2011-11-20,23-248,ARI,@,SFO,L 7-23,*,6,19,31.58,99,0,3,10.5,5.21,-1.89,0,0,,0
4,11,2011-11-27,23-255,ARI,@,STL,W 23-20,*,12,23,52.17,114,0,2,30.0,4.96,1.04,3,18,6.00,0
5,13,2011-12-11,23-269,ARI,,SFO,W 21-19,,19,28,67.86,282,3,2,106.5,10.07,9.00,6,25,4.17,0
6,14,2011-12-18,23-276,ARI,,CLE,W 20-17,*,28,46,60.87,313,1,1,79.3,6.80,6.26,2,7,3.50,0
7,15,2011-12-24,23-282,ARI,@,CIN,L 16-23,*,23,44,52.27,297,2,3,60.5,6.75,4.59,4,6,1.50,0
8,16,2012-01-01,23-290,ARI,,SEA,W 23-20,*,22,40,55.00,271,1,1,74.1,6.78,6.15,5,19,3.80,0
,,8 Games,,,,,6-2-0,,151,275,54.91,1913,11,14,68.9,6.96,5.47,28,128,4.57,0
