
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,23-035,ARI,,CAR,W 28-21,18,90,5.00,1,4,4,12,3.00,0,1,6,0.0,0,0
2,2,2011-09-18,23-042,ARI,@,WAS,L 21-22,14,93,6.64,1,2,0,0,,0,1,6,0.0,0,0
3,4,2011-10-02,23-056,ARI,,NYG,L 27-31,27,138,5.11,3,2,0,0,,0,3,18,0.0,0,0
4,5,2011-10-09,23-063,ARI,@,MIN,L 10-34,20,60,3.00,1,1,0,0,,0,1,6,0.0,1,0
5,6,2011-10-23,23-077,ARI,,PIT,L 20-32,12,42,3.50,0,0,0,0,,0,0,0,0.0,0,0
6,7,2011-10-30,23-084,ARI,@,BAL,L 27-30,22,83,3.77,1,0,0,0,,0,1,6,0.0,0,0
7,8,2011-11-06,23-091,ARI,,STL,W 19-13,10,20,2.00,0,2,2,13,6.50,0,0,0,0.0,0,0
8,9,2011-11-13,23-098,ARI,@,PHI,W 21-17,23,62,2.70,0,0,0,0,,0,0,0,0.0,0,0
9,10,2011-11-20,23-105,ARI,@,SFO,L 7-23,8,33,4.13,0,1,0,0,,0,0,0,0.0,1,0
10,11,2011-11-27,23-112,ARI,@,STL,W 23-20,27,228,8.44,1,0,0,0,,0,1,6,0.0,1,0
11,12,2011-12-04,23-119,ARI,,DAL,W 19-13,20,67,3.35,1,1,1,6,6.00,0,1,6,0.0,0,0
12,13,2011-12-11,23-126,ARI,,SFO,W 21-19,15,27,1.80,0,1,1,3,3.00,0,0,0,0.0,0,0
13,14,2011-12-18,23-133,ARI,,CLE,W 20-17,15,51,3.40,1,1,1,10,10.00,0,1,6,0.0,0,0
14,15,2011-12-24,23-139,ARI,@,CIN,L 16-23,14,53,3.79,0,1,1,8,8.00,0,0,0,0.0,0,0
15,16,2012-01-01,23-147,ARI,,SEA,W 23-20,,,,,,,,,,,,,,
,,15 Games,,,,,8-7-0,245,1047,4.27,10,16,10,52,5.20,0,10,60,0.0,3,0
