
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,24-033,ARI,,SEA,W 20-16,7,14,2.00,0,0,0,0,,0,0,0
2,2,2012-09-16,24-040,ARI,@,NWE,W 20-18,14,44,3.14,0,1,1,24,24.00,0,0,0
3,3,2012-09-23,24-047,ARI,,PHI,W 27-6,8,18,2.25,0,0,0,0,,0,0,0
4,11,2012-11-25,24-110,ARI,,STL,L 17-31,17,48,2.82,2,0,0,0,,0,2,12
5,12,2012-12-02,24-117,ARI,@,NYJ,L 6-7,15,22,1.47,0,0,0,0,,0,0,0
6,13,2012-12-09,24-124,ARI,@,SEA,L 0-58,6,18,3.00,0,0,0,0,,0,0,0
7,14,2012-12-16,24-131,ARI,,DET,W 38-10,17,67,3.94,3,0,0,0,,0,3,18
8,15,2012-12-23,24-138,ARI,,CHI,L 13-28,4,3,0.75,0,0,0,0,,0,0,0
,,8 Games,,,,,4-4-0,88,234,2.66,5,1,1,24,24.00,0,5,30
