
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts
1,1,2011-09-11,27-073,DAL,@,NYJ,L 24-27,9,5,90,18.00,1,0,0,,0,1,6
2,2,2011-09-18,27-080,DAL,@,SFO,W 27-24,15,9,143,15.89,3,1,-2,-2.00,0,3,18
3,5,2011-10-16,27-108,DAL,@,NWE,L 16-20,10,7,74,10.57,0,0,0,,0,0,0
4,6,2011-10-23,27-115,DAL,,STL,W 34-7,5,2,16,8.00,0,0,0,,0,0,0
5,7,2011-10-30,27-122,DAL,@,PHI,L 7-34,3,3,27,9.00,0,0,0,,0,0,0
6,8,2011-11-06,27-129,DAL,,SEA,W 23-13,3,2,53,26.50,0,0,0,,0,0,0
7,13,2011-12-11,27-164,DAL,,NYG,L 34-37,7,4,63,15.75,1,1,5,5.00,0,1,6
8,14,2011-12-17,27-170,DAL,@,TAM,W 31-15,8,5,53,10.60,1,0,0,,0,1,6
9,15,2011-12-24,27-177,DAL,,PHI,L 7-20,8,4,40,10.00,1,0,0,,0,1,6
10,16,2012-01-01,27-185,DAL,@,NYG,L 14-31,5,2,20,10.00,0,0,0,,0,0,0
,,10 Games,,,,,4-6-0,73,43,579,13.47,7,2,3,1.50,0,7,42
