
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,22-311,DAL,@,NYJ,L 24-27,8,3,71,23.67,1,0,0,,0,0,0,,0,1,12,12.00,0,1,6,0.0,1,0
2,3,2011-09-26,22-326,DAL,,WAS,W 18-16,4,4,63,15.75,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
3,4,2011-10-02,22-332,DAL,,DET,L 30-34,5,3,37,12.33,2,1,5,5.00,0,0,0,,0,0,0,,0,2,12,0.0,0,0
4,5,2011-10-16,22-346,DAL,@,NWE,L 16-20,8,4,78,19.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0
5,6,2011-10-23,22-353,DAL,,STL,W 34-7,8,5,90,18.00,1,0,0,,0,0,0,,0,1,7,7.00,0,1,6,0.0,0,0
6,7,2011-10-30,22-360,DAL,@,PHI,L 7-34,5,3,28,9.33,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
7,8,2011-11-06,23-002,DAL,,SEA,W 23-13,9,4,76,19.00,0,0,0,,0,0,0,,0,2,8,4.00,0,0,0,0.0,0,0
8,9,2011-11-13,23-009,DAL,,BUF,W 44-7,6,6,74,12.33,1,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0
9,10,2011-11-20,23-016,DAL,@,WAS,W 27-24,8,3,68,22.67,1,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0
10,11,2011-11-24,23-020,DAL,,MIA,W 20-19,6,3,35,11.67,0,0,0,,0,0,0,,0,1,20,20.00,0,0,0,0.0,0,0
11,12,2011-12-04,23-030,DAL,@,ARI,L 13-19,14,8,86,10.75,1,0,0,,0,0,0,,0,3,18,6.00,0,1,6,0.0,0,0
12,13,2011-12-11,23-037,DAL,,NYG,L 34-37,2,1,50,50.00,1,0,0,,0,0,0,,0,1,10,10.00,0,1,6,0.0,0,0
13,14,2011-12-17,23-043,DAL,@,TAM,W 31-15,4,4,40,10.00,1,0,0,,0,0,0,,0,4,15,3.75,0,1,6,0.0,0,0
14,15,2011-12-24,23-050,DAL,,PHI,L 7-20,8,6,62,10.33,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
15,16,2012-01-01,23-058,DAL,@,NYG,L 14-31,8,6,70,11.67,0,0,0,,0,3,55,18.33,0,2,13,6.50,0,0,0,0.0,0,0
,,15 Games,,,,,7-8-0,103,63,928,14.73,9,1,5,5.00,0,3,55,18.33,0,15,103,6.87,0,9,54,0.0,2,0
