
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,25-307,DAL,,SFO,L 17-28,6,4,55,13.75,0,0,0,0.0,1,0
2,2,2014-09-14,25-314,DAL,@,TEN,W 26-10,14,10,103,10.30,1,1,6,0.0,0,0
3,3,2014-09-21,25-321,DAL,@,STL,W 34-31,7,6,89,14.83,1,1,6,0.0,0,0
4,4,2014-09-28,25-328,DAL,,NOR,W 38-17,6,3,44,14.67,1,1,6,0.0,0,0
5,5,2014-10-05,25-335,DAL,,HOU,W 20-17,14,9,85,9.44,1,1,6,0.0,0,0
6,6,2014-10-12,25-342,DAL,@,SEA,W 30-23,10,4,63,15.75,0,0,0,0.0,0,0
7,7,2014-10-19,25-349,DAL,,NYG,W 31-21,12,9,151,16.78,0,0,0,0.0,0,0
8,8,2014-10-27,25-357,DAL,,WAS,L 17-20,7,3,30,10.00,1,1,6,0.0,0,0
9,9,2014-11-02,25-363,DAL,,ARI,L 17-28,10,2,15,7.50,1,1,6,0.0,0,0
10,10,2014-11-09,26-005,DAL,@,JAX,W 31-17,8,6,158,26.33,2,2,12,0.0,0,0
11,11,2014-11-23,26-019,DAL,@,NYG,W 31-28,9,7,86,12.29,2,2,12,0.0,0,0
12,12,2014-11-27,26-023,DAL,,PHI,L 10-33,7,4,73,18.25,0,0,0,0.0,0,0
13,13,2014-12-04,26-030,DAL,@,CHI,W 41-28,8,6,82,13.67,0,0,0,0.0,0,0
14,14,2014-12-14,26-040,DAL,@,PHI,W 38-27,7,6,114,19.00,3,3,18,0.0,0,0
15,15,2014-12-21,26-047,DAL,,IND,W 42-7,5,5,73,14.60,1,1,6,0.0,0,0
16,16,2014-12-28,26-054,DAL,@,WAS,W 44-17,6,4,99,24.75,2,2,12,0.0,0,0
,,16 Games,,,,,12-4-0,136,88,1320,15.00,16,16,96,0.0,1,0
