
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1,2012-09-05,25-120,DAL,@,NYG,W 24-17,0,0,,0,2,0,0,,0,3,61,20.33,0,0,0
2,2,2012-09-16,25-131,DAL,@,SEA,L 7-27,1,1,1.00,0,5,4,40,10.00,0,5,109,21.80,0,0,0
3,3,2012-09-23,25-138,DAL,,TAM,W 16-10,1,-1,-1.00,0,2,2,28,14.00,0,1,18,18.00,0,0,0
4,4,2012-10-01,25-146,DAL,,CHI,L 18-34,1,13,13.00,0,0,0,0,,0,2,48,24.00,0,0,0
5,5,2012-10-14,25-159,DAL,@,BAL,L 29-31,18,92,5.11,1,1,1,13,13.00,0,0,0,,0,1,6
6,6,2012-10-21,25-166,DAL,@,CAR,W 19-14,15,44,2.93,0,6,5,30,6.00,0,0,0,,0,0,0
7,7,2012-10-28,25-173,DAL,,NYG,L 24-29,13,19,1.46,1,3,0,0,,0,0,0,,0,1,6
8,8,2012-11-04,25-180,DAL,@,ATL,L 13-19,9,39,4.33,0,5,5,70,14.00,0,0,0,,0,0,0
9,9,2012-11-11,25-187,DAL,@,PHI,W 38-23,16,71,4.44,0,3,3,22,7.33,1,0,0,,0,1,6
10,10,2012-11-18,25-194,DAL,,CLE,W 23-20,14,43,3.07,1,3,2,12,6.00,0,0,0,,0,1,6
11,11,2012-11-22,25-198,DAL,,WAS,L 31-38,6,14,2.33,0,4,3,47,15.67,1,0,0,,0,1,6
12,12,2012-12-02,25-208,DAL,,PHI,W 38-33,7,26,3.71,0,1,0,0,,0,0,0,,0,0,0
13,13,2012-12-09,25-215,DAL,@,CIN,W 20-19,2,7,3.50,0,0,0,0,,0,0,0,,0,0,0
14,14,2012-12-16,25-222,DAL,,PIT,W 27-24,3,10,3.33,0,0,0,0,,0,0,0,,0,0,0
15,15,2012-12-23,25-229,DAL,,NOR,L 31-34,0,0,,0,1,0,0,,0,0,0,,0,0,0
16,16,2012-12-30,25-236,DAL,@,WAS,L 18-28,5,24,4.80,0,0,0,0,,0,0,0,,0,0,0
,,16 Games,,,,,8-8-0,111,402,3.62,3,36,25,262,10.48,2,11,236,21.45,0,5,30
