
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,25-208,DAL,,NYG,W 36-31,20,86,4.30,0,10,8,39,4.88,0,0,0,0.0,1,0
2,2,2013-09-15,25-215,DAL,@,KAN,L 16-17,12,25,2.08,0,6,5,49,9.80,0,0,0,0.0,0,0
3,3,2013-09-22,25-222,DAL,,STL,W 31-7,26,175,6.73,1,3,3,28,9.33,0,1,6,0.0,0,0
4,4,2013-09-29,25-229,DAL,@,SDG,L 21-30,14,70,5.00,0,5,5,22,4.40,0,0,0,0.0,0,0
5,5,2013-10-06,25-236,DAL,,DEN,L 48-51,12,43,3.58,1,1,1,5,5.00,0,1,6,0.0,0,0
6,6,2013-10-13,25-243,DAL,,WAS,W 31-16,7,29,4.14,1,2,2,21,10.50,0,1,6,0.0,0,0
7,9,2013-11-03,25-264,DAL,,MIN,W 27-23,4,31,7.75,0,7,6,19,3.17,0,0,0,0.0,0,0
8,10,2013-11-10,25-271,DAL,@,NOR,L 17-49,16,89,5.56,1,2,1,6,6.00,0,1,6,0.0,0,0
9,11,2013-11-24,25-285,DAL,@,NYG,W 24-21,14,86,6.14,0,3,3,40,13.33,0,0,0,0.0,0,0
10,12,2013-11-28,25-289,DAL,,OAK,W 31-24,17,63,3.71,3,5,5,39,7.80,0,3,18,0.0,0,0
11,13,2013-12-09,25-300,DAL,@,CHI,L 28-45,18,146,8.11,0,5,2,9,4.50,0,0,0,0.0,0,0
12,14,2013-12-15,25-306,DAL,,GNB,L 36-37,18,134,7.44,1,7,4,19,4.75,0,1,6,0.0,0,0
13,15,2013-12-22,25-313,DAL,@,WAS,W 24-23,22,96,4.36,1,3,3,15,5.00,1,2,12,0.0,0,0
14,16,2013-12-29,25-320,DAL,,PHI,L 22-24,17,48,2.82,0,7,5,39,7.80,0,0,0,0.0,0,0
,,14 Games,,,,,7-7-0,217,1121,5.17,9,66,53,350,6.60,1,10,60,0.0,1,0
