
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1,2011-09-11,31-143,DAL,@,NYJ,L 24-27,*,23,36,63.89,342,2,1,101.9,9.50,9.36,3,9,3.00,0,0,0
2,2,2011-09-18,31-150,DAL,@,SFO,W 27-24,*,20,33,60.61,345,2,0,116.4,10.45,11.67,0,0,,0,0,0
3,3,2011-09-26,31-158,DAL,,WAS,W 18-16,*,22,36,61.11,255,0,1,70.9,7.08,5.83,2,-1,-0.50,0,0,0
4,4,2011-10-02,31-164,DAL,,DET,L 30-34,*,34,47,72.34,331,3,3,86.4,7.04,5.45,0,0,,0,0,0
5,5,2011-10-16,31-178,DAL,@,NWE,L 16-20,*,27,41,65.85,317,1,1,87.1,7.73,7.12,1,17,17.00,0,0,0
6,6,2011-10-23,31-185,DAL,,STL,W 34-7,*,14,24,58.33,166,2,0,107.3,6.92,8.58,0,0,,0,0,0
7,7,2011-10-30,31-192,DAL,@,PHI,L 7-34,*,18,35,51.43,203,1,1,66.7,5.80,5.09,1,9,9.00,0,0,0
8,8,2011-11-06,31-199,DAL,,SEA,W 23-13,*,19,31,61.29,279,2,0,112.2,9.00,10.29,3,13,4.33,0,0,0
9,9,2011-11-13,31-206,DAL,,BUF,W 44-7,*,23,26,88.46,270,3,0,148.4,10.38,12.69,2,0,0.00,0,0,0
10,10,2011-11-20,31-213,DAL,@,WAS,W 27-24,*,23,37,62.16,292,3,0,113.8,7.89,9.51,2,-2,-1.00,0,0,0
11,11,2011-11-24,31-217,DAL,,MIA,W 20-19,*,22,34,64.71,226,2,2,78.8,6.65,5.18,1,-2,-2.00,0,0,0
12,12,2011-12-04,31-227,DAL,@,ARI,L 13-19,*,28,42,66.67,299,1,0,95.2,7.12,7.60,2,1,0.50,0,0,0
13,13,2011-12-11,31-234,DAL,,NYG,L 34-37,*,21,31,67.74,321,4,0,141.3,10.35,12.94,0,0,,0,0,0
14,14,2011-12-17,31-240,DAL,@,TAM,W 31-15,*,23,30,76.67,249,3,0,133.9,8.30,10.30,3,-1,-0.33,1,1,6
15,15,2011-12-24,31-247,DAL,,PHI,L 7-20,*,0,2,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0
16,16,2012-01-01,31-255,DAL,@,NYG,L 14-31,*,29,37,78.38,289,2,1,106.0,7.81,7.68,2,3,1.50,0,0,0
,,16 Games,,,,,8-8-0,,346,522,66.28,4184,31,10,102.5,8.02,8.34,22,46,2.09,1,1,6
