
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts
1,1,2012-09-05,32-137,DAL,@,NYG,W 24-17,*,22,29,75.86,307,3,1,129.5,10.59,11.10,5,12,2.40,0,0,0,0,,0,,0,0
2,2,2012-09-16,32-148,DAL,@,SEA,L 7-27,*,23,40,57.50,251,1,1,74.1,6.28,5.65,2,-1,-0.50,0,0,0,0,,0,,0,0
3,3,2012-09-23,32-155,DAL,,TAM,W 16-10,*,25,39,64.10,283,0,1,75.1,7.26,6.10,4,1,0.25,0,1,1,-1,-1.00,0,,0,0
4,4,2012-10-01,32-163,DAL,,CHI,L 18-34,*,31,43,72.09,307,1,5,60.1,7.14,2.37,1,0,0.00,0,0,0,0,,0,,0,0
5,5,2012-10-14,32-176,DAL,@,BAL,L 29-31,*,25,36,69.44,261,2,1,97.1,7.25,7.11,0,0,,0,0,0,0,,0,,0,0
6,6,2012-10-21,32-183,DAL,@,CAR,W 19-14,*,24,34,70.59,227,1,0,98.5,6.68,7.26,3,11,3.67,0,0,0,0,,0,,0,0
7,7,2012-10-28,32-190,DAL,,NYG,L 24-29,*,36,62,58.06,437,1,4,58.3,7.05,4.47,2,0,0.00,1,0,0,0,,0,,1,6
8,8,2012-11-04,32-197,DAL,@,ATL,L 13-19,*,25,35,71.43,321,1,0,109.3,9.17,9.74,0,0,,0,0,0,0,,0,,0,0
9,9,2012-11-11,32-204,DAL,@,PHI,W 38-23,*,19,26,73.08,209,2,0,122.1,8.04,9.58,1,-1,-1.00,0,0,0,0,,0,,0,0
10,10,2012-11-18,32-211,DAL,,CLE,W 23-20,*,35,50,70.00,313,1,0,93.2,6.26,6.66,2,10,5.00,0,0,0,0,,0,,0,0
11,11,2012-11-22,32-215,DAL,,WAS,L 31-38,*,37,62,59.68,441,3,2,84.1,7.11,6.63,3,7,2.33,0,0,0,0,,0,1,0,2
12,12,2012-12-02,32-225,DAL,,PHI,W 38-33,*,22,27,81.48,303,3,0,150.5,11.22,13.44,3,14,4.67,0,0,0,0,,0,,0,0
13,13,2012-12-09,32-232,DAL,@,CIN,W 20-19,*,25,43,58.14,268,1,1,74.6,6.23,5.65,0,0,,0,0,0,0,,0,,0,0
14,14,2012-12-16,32-239,DAL,,PIT,W 27-24,*,30,42,71.43,341,2,0,111.3,8.12,9.07,4,-4,-1.00,0,0,0,0,,0,,0,0
15,15,2012-12-23,32-246,DAL,,NOR,L 31-34,*,26,43,60.47,416,4,0,123.8,9.67,11.53,0,0,,0,0,0,0,,0,,0,0
16,16,2012-12-30,32-253,DAL,@,WAS,L 18-28,*,20,37,54.05,218,2,3,55.9,5.89,3.32,0,0,,0,0,0,0,,0,,0,0
,,16 Games,,,,,8-8-0,,425,648,65.59,4903,28,19,90.5,7.57,7.11,30,49,1.63,1,1,1,-1,-1.00,0,1,1,8
