
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1,2013-09-08,33-140,DAL,,NYG,W 36-31,*,36,49,73.47,263,2,1,90.8,5.37,5.27,2,-1,-0.50,0
2,2,2013-09-15,33-147,DAL,@,KAN,L 16-17,*,30,42,71.43,298,1,0,99.1,7.10,7.57,2,3,1.50,0
3,3,2013-09-22,33-154,DAL,,STL,W 31-7,*,17,24,70.83,210,3,0,137.2,8.75,11.25,0,0,,0
4,4,2013-09-29,33-161,DAL,@,SDG,L 21-30,*,27,37,72.97,246,2,0,108.6,6.65,7.73,1,15,15.00,0
5,5,2013-10-06,33-168,DAL,,DEN,L 48-51,*,25,36,69.44,506,5,1,140.0,14.06,15.58,1,7,7.00,0
6,6,2013-10-13,33-175,DAL,,WAS,W 31-16,*,18,30,60.00,170,1,1,72.9,5.67,4.83,0,0,,0
7,7,2013-10-20,33-182,DAL,@,PHI,W 17-3,*,28,47,59.57,317,1,2,69.2,6.74,5.26,4,2,0.50,0
8,8,2013-10-27,33-189,DAL,@,DET,L 30-31,*,14,30,46.67,206,3,0,102.9,6.87,8.87,3,6,2.00,0
9,9,2013-11-03,33-196,DAL,,MIN,W 27-23,*,34,51,66.67,337,2,1,90.1,6.61,6.51,1,8,8.00,0
10,10,2013-11-10,33-203,DAL,@,NOR,L 17-49,*,10,24,41.67,128,1,0,72.9,5.33,6.17,0,0,,0
11,11,2013-11-24,33-217,DAL,@,NYG,W 24-21,*,23,38,60.53,234,2,1,84.8,6.16,6.03,3,1,0.33,0
12,12,2013-11-28,33-221,DAL,,OAK,W 31-24,*,23,32,71.88,225,1,0,101.7,7.03,7.66,1,-1,-1.00,0
13,13,2013-12-09,33-232,DAL,@,CHI,L 28-45,*,11,20,55.00,104,3,0,109.2,5.20,8.20,1,-1,-1.00,0
14,14,2013-12-15,33-238,DAL,,GNB,L 36-37,*,29,48,60.42,358,2,2,80.0,7.46,6.42,0,0,,0
15,15,2013-12-22,33-245,DAL,@,WAS,W 24-23,*,17,27,62.96,226,2,1,98.7,8.37,8.19,1,-1,-1.00,0
,,15 Games,,,,,8-7-0,,342,535,63.93,3828,31,10,96.7,7.16,7.47,20,38,1.90,0
