
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,24-354,DAL,,SFO,L 17-28,7,4,50,12.50,1,1,6,0.0,0,0
2,2,2014-09-14,24-361,DAL,@,TEN,W 26-10,4,2,20,10.00,0,0,0,0.0,0,0
3,3,2014-09-21,25-003,DAL,@,STL,W 34-31,3,2,32,16.00,1,1,6,0.0,0,0
4,4,2014-09-28,25-010,DAL,,NOR,W 38-17,7,6,77,12.83,2,2,12,0.0,0,0
5,5,2014-10-05,25-017,DAL,,HOU,W 20-17,6,2,71,35.50,1,1,6,0.0,0,0
6,6,2014-10-12,25-024,DAL,@,SEA,W 30-23,2,2,70,35.00,0,0,0,0.0,0,0
7,7,2014-10-19,25-031,DAL,,NYG,W 31-21,3,1,18,18.00,1,1,6,0.0,0,0
8,8,2014-10-27,25-039,DAL,,WAS,L 17-20,7,6,69,11.50,0,0,0,0.0,1,0
9,9,2014-11-02,25-045,DAL,,ARI,L 17-28,7,2,19,9.50,0,0,0,0.0,1,0
10,10,2014-11-09,25-052,DAL,@,JAX,W 31-17,2,0,0,,0,0,0,0.0,0,0
11,11,2014-11-23,25-066,DAL,@,NYG,W 31-28,2,1,18,18.00,0,0,0,0.0,0,0
12,12,2014-11-27,25-070,DAL,,PHI,L 10-33,4,2,38,19.00,0,0,0,0.0,1,0
13,13,2014-12-04,25-077,DAL,@,CHI,W 41-28,,,,,,,,,,
14,14,2014-12-14,25-087,DAL,@,PHI,W 38-27,5,2,19,9.50,0,0,0,0.0,0,0
15,15,2014-12-21,25-094,DAL,,IND,W 42-7,2,2,52,26.00,2,2,12,0.0,0,0
16,16,2014-12-28,25-101,DAL,@,WAS,W 44-17,5,3,68,22.67,0,0,0,0.0,0,0
,,16 Games,,,,,12-4-0,66,37,621,16.78,8,8,48,0.0,3,0
