
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,23-209,DEN,,IND,W 31-24,4,27,6.75,0,0,0,0,,0,0,0,0.0,0,0
2,2,2014-09-14,23-216,DEN,,KAN,W 24-17,5,31,6.20,0,0,0,0,,0,0,0,0.0,0,0
3,3,2014-09-21,23-223,DEN,@,SEA,L 20-26,2,-3,-1.50,0,1,1,1,1.00,0,0,0,0.0,0,0
4,5,2014-10-12,23-244,DEN,@,NYJ,W 31-17,,,,,,,,,,,,,,
5,6,2014-10-19,23-251,DEN,,SFO,W 42-17,2,9,4.50,0,0,0,0,,0,0,0,0.0,0,0
6,7,2014-10-23,23-255,DEN,,SDG,W 35-21,1,0,0.00,0,0,0,0,,0,0,0,0.0,0,0
7,8,2014-11-02,23-265,DEN,@,NWE,L 21-43,3,18,6.00,0,4,3,33,11.00,0,0,0,0.0,0,0
8,9,2014-11-09,23-272,DEN,@,OAK,W 41-17,13,90,6.92,0,7,4,73,18.25,1,1,6,0.0,0,0
9,10,2014-11-16,23-279,DEN,@,STL,L 7-22,9,29,3.22,0,10,8,86,10.75,0,0,0,0.0,1,0
10,11,2014-11-23,23-286,DEN,,MIA,W 39-36,27,167,6.19,1,4,4,28,7.00,0,1,6,0.0,0,0
11,12,2014-11-30,23-293,DEN,@,KAN,W 29-16,32,168,5.25,0,3,2,17,8.50,1,1,6,0.0,0,0
12,13,2014-12-07,23-300,DEN,,BUF,W 24-17,21,58,2.76,3,0,0,0,,0,3,18,0.0,0,0
13,14,2014-12-14,23-307,DEN,@,SDG,W 22-10,29,85,2.93,0,2,2,11,5.50,0,0,0,0.0,0,0
14,15,2014-12-22,23-315,DEN,@,CIN,L 28-37,18,83,4.61,1,10,8,55,6.88,0,1,6,0.0,0,0
15,16,2014-12-28,23-321,DEN,,OAK,W 47-14,13,87,6.69,3,3,2,20,10.00,0,3,18,0.0,0,0
,,15 Games,,,,,11-4-0,179,849,4.74,8,44,34,324,9.53,2,10,60,0.0,1,0
