
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ret,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,25-178,DEN,,PIT,W 31-19,7,5,54,10.80,0,0,0,,0,0,0
2,2,2012-09-17,25-186,DEN,@,ATL,L 21-27,8,4,53,13.25,0,1,9,9.00,0,0,0
3,3,2012-09-23,25-192,DEN,,HOU,L 25-31,11,8,136,17.00,0,1,13,13.00,0,0,0
4,4,2012-09-30,25-199,DEN,,OAK,W 37-6,9,7,79,11.29,1,0,0,,0,1,6
5,5,2012-10-07,25-206,DEN,@,NWE,L 21-31,8,4,21,5.25,1,0,0,,0,1,6
6,6,2012-10-15,25-214,DEN,@,SDG,W 35-24,9,6,98,16.33,1,0,0,,0,1,6
7,7,2012-10-28,25-227,DEN,,NOR,W 34-14,6,4,43,10.75,2,0,0,,0,2,12
8,8,2012-11-04,25-234,DEN,@,CIN,W 31-23,11,8,99,12.38,2,0,0,,0,2,12
9,9,2012-11-11,25-241,DEN,@,CAR,W 36-14,4,2,15,7.50,0,0,0,,0,0,0
10,10,2012-11-18,25-248,DEN,,SDG,W 30-23,5,2,23,11.50,1,0,0,,0,1,6
11,11,2012-11-25,25-255,DEN,@,KAN,W 17-9,8,4,64,16.00,0,0,0,,0,0,0
12,12,2012-12-02,25-262,DEN,,TAM,W 31-23,2,2,17,8.50,0,0,0,,0,0,0
13,13,2012-12-06,25-266,DEN,@,OAK,W 26-13,9,8,88,11.00,0,0,0,,0,0,0
14,14,2012-12-16,25-276,DEN,@,BAL,W 34-17,11,8,133,16.63,1,0,0,,0,1,6
15,15,2012-12-23,25-283,DEN,,CLE,W 34-12,6,6,65,10.83,2,0,0,,0,2,12
16,16,2012-12-30,25-290,DEN,,KAN,W 38-3,8,7,76,10.86,2,0,0,,0,2,12
,,16 Games,,,,,13-3-0,122,85,1064,12.52,13,2,22,11.00,0,13,78
