
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-05,37-165,DEN,,BAL,W 49-27,*,27,42,64.29,462,7,0,141.1,11.00,14.33,2,-2,-1.00,0,0,0,0.0,0,0
2,2,2013-09-15,37-175,DEN,@,NYG,W 41-23,*,30,43,69.77,307,2,0,105.5,7.14,8.07,3,-3,-1.00,0,0,0,0.0,0,0
3,3,2013-09-23,37-183,DEN,,OAK,W 37-21,*,32,37,86.49,374,3,0,135.8,10.11,11.73,3,-2,-0.67,0,0,0,0.0,0,0
4,4,2013-09-29,37-189,DEN,,PHI,W 52-20,*,28,34,82.35,327,4,0,146.0,9.62,11.97,0,0,,0,0,0,0.0,0,0
5,5,2013-10-06,37-196,DEN,@,DAL,W 51-48,*,33,42,78.57,414,4,1,129.6,9.86,10.69,4,-8,-2.00,1,1,6,0.0,0,0
6,6,2013-10-13,37-203,DEN,,JAX,W 35-19,*,28,42,66.67,295,2,1,92.9,7.02,6.90,5,-7,-1.40,0,0,0,0.0,0,0
7,7,2013-10-20,37-210,DEN,@,IND,L 33-39,*,29,49,59.18,386,3,1,96.1,7.88,8.18,1,-1,-1.00,0,0,0,0.0,0,0
8,8,2013-10-27,37-217,DEN,,WAS,W 45-21,*,30,44,68.18,354,4,3,94.3,8.05,6.80,4,-3,-0.75,0,0,0,0.0,1,0
9,9,2013-11-10,37-231,DEN,@,SDG,W 28-20,*,25,36,69.44,330,4,0,135.2,9.17,11.39,2,-1,-0.50,0,0,0,0.0,0,0
10,10,2013-11-17,37-238,DEN,,KAN,W 27-17,*,24,40,60.00,323,1,0,94.1,8.08,8.58,1,0,0.00,0,0,0,0.0,1,0
11,11,2013-11-24,37-245,DEN,@,NWE,L 31-34,*,19,36,52.78,150,2,1,70.4,4.17,4.03,1,0,0.00,0,0,0,0.0,0,0
12,12,2013-12-01,37-252,DEN,@,KAN,W 35-28,*,22,35,62.86,403,5,2,118.2,11.51,11.80,3,-3,-1.00,0,0,0,0.0,0,0
13,13,2013-12-08,37-259,DEN,,TEN,W 51-28,*,39,59,66.10,397,4,0,107.8,6.73,8.08,3,-1,-0.33,0,0,0,0.0,0,0
14,14,2013-12-12,37-263,DEN,,SDG,L 20-27,*,27,41,65.85,289,2,1,92.4,7.05,6.93,0,0,,0,0,0,0.0,0,0
15,15,2013-12-22,37-273,DEN,@,HOU,W 37-13,*,32,51,62.75,400,4,0,113.2,7.84,9.41,0,0,,0,0,0,0.0,0,0
16,16,2013-12-29,37-280,DEN,@,OAK,W 34-14,*,25,28,89.29,266,4,0,145.8,9.50,12.36,0,0,,0,0,0,0.0,0,0
,,16 Games,,,,,13-3-0,,450,659,68.29,5477,55,10,115.1,8.31,9.30,32,-31,-0.97,1,1,6,0.0,2,0
