
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
1,1,2014-09-07,38-167,DEN,,IND,W 31-24,*,22,36,61.11,269,3,0,111.9,7.47,9.14,4,-3,-0.75,0,0.0,0,0
2,2,2014-09-14,38-174,DEN,,KAN,W 24-17,*,21,26,80.77,242,3,0,143.9,9.31,11.62,1,-1,-1.00,0,0.0,0,0
3,3,2014-09-21,38-181,DEN,@,SEA,L 20-26,*,31,49,63.27,303,2,1,85.7,6.18,6.08,1,-1,-1.00,0,0.0,0,0
4,4,2014-10-05,38-195,DEN,,ARI,W 41-20,*,31,47,65.96,479,4,2,110.2,10.19,9.98,2,-2,-1.00,0,0.0,1,0
5,5,2014-10-12,38-202,DEN,@,NYJ,W 31-17,*,22,33,66.67,237,3,0,117.9,7.18,9.00,1,0,0.00,0,0.0,0,0
6,6,2014-10-19,38-209,DEN,,SFO,W 42-17,*,22,26,84.62,318,4,0,157.2,12.23,15.31,1,-1,-1.00,0,0.0,0,0
7,7,2014-10-23,38-213,DEN,,SDG,W 35-21,*,25,35,71.43,286,3,0,124.2,8.17,9.89,1,0,0.00,0,0.0,0,0
8,8,2014-11-02,38-223,DEN,@,NWE,L 21-43,*,34,57,59.65,438,2,2,80.9,7.68,6.81,2,3,1.50,0,0.0,0,0
9,9,2014-11-09,38-230,DEN,@,OAK,W 41-17,*,31,44,70.45,340,5,2,111.9,7.73,7.95,0,0,,0,0.0,0,0
10,10,2014-11-16,38-237,DEN,@,STL,L 7-22,*,34,54,62.96,389,1,2,75.3,7.20,5.91,1,-1,-1.00,0,0.0,0,0
11,11,2014-11-23,38-244,DEN,,MIA,W 39-36,*,28,35,80.00,257,4,0,135.4,7.34,9.63,2,-2,-1.00,0,0.0,0,0
12,12,2014-11-30,38-251,DEN,@,KAN,W 29-16,*,17,34,50.00,179,2,0,85.3,5.26,6.44,2,-6,-3.00,0,0.0,0,0
13,13,2014-12-07,38-258,DEN,,BUF,W 24-17,*,14,20,70.00,173,0,2,56.9,8.65,4.15,2,-2,-1.00,0,0.0,1,0
14,14,2014-12-14,38-265,DEN,@,SDG,W 22-10,*,14,20,70.00,233,1,0,125.6,11.65,12.65,3,-3,-1.00,0,0.0,0,0
15,15,2014-12-22,38-273,DEN,@,CIN,L 28-37,*,28,44,63.64,311,2,4,61.8,7.07,3.89,0,0,,0,0.0,0,0
16,16,2014-12-28,38-279,DEN,,OAK,W 47-14,*,21,37,56.76,273,0,0,80.1,7.38,7.38,1,-5,-5.00,0,0.0,0,0
,,16 Games,,,,,12-4-0,,395,597,66.16,4727,39,15,101.5,7.92,8.09,24,-24,-1.00,0,0.0,2,0
