
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-12,29-326,DEN,,OAK,L 20-23,4,3,0.75,0,7,5,32,6.40,0,,0,0,0.0,0,0
2,2,2011-09-18,29-332,DEN,,CIN,W 24-22,28,101,3.61,1,2,1,5,5.00,0,,1,6,0.0,0,0
3,3,2011-09-25,29-339,DEN,@,TEN,L 14-17,22,52,2.36,0,5,3,2,0.67,1,,1,6,0.0,0,0
4,4,2011-10-02,29-346,DEN,@,GNB,L 23-49,15,103,6.87,0,2,2,10,5.00,0,,0,0,0.0,1,0
5,5,2011-10-09,29-353,DEN,,SDG,L 24-29,16,125,7.81,0,1,0,0,,0,1,0,2,0.0,0,0
6,6,2011-10-23,30-002,DEN,@,MIA,W 18-15,18,76,4.22,0,0,0,0,,0,,0,0,0.0,0,0
7,8,2011-11-06,30-016,DEN,@,OAK,W 38-24,20,163,8.15,2,0,0,0,,0,,2,12,0.0,0,0
8,9,2011-11-13,30-023,DEN,@,KAN,W 17-10,4,17,4.25,0,0,0,0,,0,,0,0,0.0,0,0
9,10,2011-11-17,30-027,DEN,,NYJ,W 17-13,12,18,1.50,0,0,0,0,,0,,0,0,0.0,0,0
10,11,2011-11-27,30-037,DEN,@,SDG,W 16-13,23,117,5.09,0,0,0,0,,0,,0,0,0.0,0,0
11,12,2011-12-04,30-044,DEN,@,MIN,W 35-32,20,111,5.55,1,0,0,0,,0,,1,6,0.0,0,0
12,13,2011-12-11,30-051,DEN,,CHI,W 13-10,17,34,2.00,0,1,1,2,2.00,0,,0,0,0.0,0,0
13,14,2011-12-18,30-058,DEN,,NWE,L 23-41,7,70,10.00,0,0,0,0,,0,,0,0,0.0,0,0
14,15,2011-12-24,30-064,DEN,@,BUF,L 14-40,15,64,4.27,0,1,0,0,,0,,0,0,0.0,0,0
15,16,2012-01-01,30-072,DEN,,KAN,L 3-7,28,145,5.18,0,1,0,0,,0,,0,0,0.0,0,0
,,15 Games,,,,,8-7-0,249,1199,4.82,4,20,12,51,4.25,1,1,5,32,0.0,1,0
