
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-05,25-254,DEN,,BAL,W 49-27,11,5,161,32.20,2,2,12,0.0,0,0
2,2,2013-09-15,25-264,DEN,@,NYG,W 41-23,6,5,52,10.40,0,0,0,0.0,0,0
3,3,2013-09-23,25-272,DEN,,OAK,W 37-21,11,10,94,9.40,0,0,0,0.0,1,0
4,4,2013-09-29,25-278,DEN,,PHI,W 52-20,10,9,86,9.56,2,2,12,0.0,0,0
5,5,2013-10-06,25-285,DEN,@,DAL,W 51-48,6,5,57,11.40,0,0,0,0.0,0,0
6,6,2013-10-13,25-292,DEN,,JAX,W 35-19,5,3,78,26.00,0,0,0,0.0,0,0
7,7,2013-10-20,25-299,DEN,@,IND,L 33-39,9,4,82,20.50,1,1,6,0.0,0,0
8,8,2013-10-27,25-306,DEN,,WAS,W 45-21,11,7,75,10.71,1,1,6,0.0,1,0
9,9,2013-11-10,25-320,DEN,@,SDG,W 28-20,10,7,108,15.43,3,3,18,0.0,0,0
10,10,2013-11-17,25-327,DEN,,KAN,W 27-17,13,5,121,24.20,0,0,0,0.0,0,0
11,11,2013-11-24,25-334,DEN,@,NWE,L 31-34,9,4,41,10.25,1,1,6,0.0,0,0
12,12,2013-12-01,25-341,DEN,@,KAN,W 35-28,6,3,106,35.33,0,0,0,0.0,0,0
13,13,2013-12-08,25-348,DEN,,TEN,W 51-28,10,7,88,12.57,1,1,6,0.0,0,0
14,14,2013-12-12,25-352,DEN,,SDG,L 20-27,5,4,45,11.25,0,0,0,0.0,0,0
15,15,2013-12-22,25-362,DEN,@,HOU,W 37-13,14,8,123,15.38,1,1,6,0.0,0,0
16,16,2013-12-29,26-004,DEN,@,OAK,W 34-14,6,6,113,18.83,2,2,12,0.0,0,0
,,16 Games,,,,,13-3-0,142,92,1430,15.54,14,14,84,0.0,2,0
