
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2013-09-05,25-070,DEN,,BAL,W 49-27,7,5,110,22.00,2,2,12
2,2,2013-09-15,25-080,DEN,@,NYG,W 41-23,9,6,47,7.83,1,1,6
3,3,2013-09-23,25-088,DEN,,OAK,W 37-21,4,3,37,12.33,1,1,6
4,4,2013-09-29,25-094,DEN,,PHI,W 52-20,4,4,43,10.75,0,0,0
5,5,2013-10-06,25-101,DEN,@,DAL,W 51-48,12,9,122,13.56,2,2,12
6,6,2013-10-13,25-108,DEN,,JAX,W 35-19,7,4,22,5.50,1,1,6
7,7,2013-10-20,25-115,DEN,@,IND,L 33-39,6,5,41,8.20,1,1,6
8,8,2013-10-27,25-122,DEN,,WAS,W 45-21,3,3,29,9.67,0,0,0
9,9,2013-11-10,25-136,DEN,@,SDG,W 28-20,5,3,96,32.00,1,1,6
10,10,2013-11-17,25-143,DEN,,KAN,W 27-17,5,3,43,14.33,1,1,6
11,13,2013-12-08,25-164,DEN,,TEN,W 51-28,7,5,35,7.00,1,1,6
12,14,2013-12-12,25-168,DEN,,SDG,L 20-27,8,4,49,12.25,0,0,0
13,15,2013-12-22,25-178,DEN,@,HOU,W 37-13,8,6,78,13.00,1,1,6
14,16,2013-12-29,25-185,DEN,@,OAK,W 34-14,5,5,36,7.20,0,0,0
,,14 Games,,,,,12-2-0,90,65,788,12.12,12,12,72
