
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,26-072,DEN,,IND,W 31-24,8,7,104,14.86,3,3,18,0.0,0,0
2,2,2014-09-14,26-079,DEN,,KAN,W 24-17,5,4,39,9.75,1,1,6,0.0,0,0
3,3,2014-09-21,26-086,DEN,@,SEA,L 20-26,4,3,17,5.67,1,1,6,0.0,0,0
4,4,2014-10-05,26-100,DEN,,ARI,W 41-20,7,6,66,11.00,2,2,12,0.0,0,0
5,5,2014-10-12,26-107,DEN,@,NYJ,W 31-17,6,4,51,12.75,2,2,12,0.0,0,0
6,6,2014-10-19,26-114,DEN,,SFO,W 42-17,6,4,27,6.75,0,0,0,0.0,0,0
7,7,2014-10-23,26-118,DEN,,SDG,W 35-21,6,2,23,11.50,0,0,0,0.0,0,0
8,8,2014-11-02,26-128,DEN,@,NWE,L 21-43,2,2,33,16.50,1,1,6,0.0,1,0
9,9,2014-11-09,26-135,DEN,@,OAK,W 41-17,7,6,63,10.50,2,2,12,0.0,1,0
10,10,2014-11-16,26-142,DEN,@,STL,L 7-22,3,2,3,1.50,0,0,0,0.0,0,0
11,14,2014-12-14,26-170,DEN,@,SDG,W 22-10,2,1,30,30.00,0,0,0,0.0,0,0
12,15,2014-12-22,26-178,DEN,@,CIN,L 28-37,6,2,33,16.50,0,0,0,0.0,1,0
13,16,2014-12-28,26-184,DEN,,OAK,W 47-14,,,,,,,,,,
,,13 Games,,,,,9-4-0,62,43,489,11.37,12,12,72,0.0,3,0
