
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-08,28-035,DET,,NYG,W 35-14,15,51,3.40,1,1,1,5,5.00,0,1,6,0.0,0,0
2,2,2014-09-14,28-041,DET,@,CAR,L 7-24,10,36,3.60,0,11,6,61,10.17,0,0,0,0.0,0,0
3,3,2014-09-21,28-048,DET,,GNB,W 19-7,15,33,2.20,0,0,0,0,,0,0,0,0.0,1,0
4,4,2014-09-28,28-055,DET,@,NYJ,W 24-17,8,32,4.00,0,4,2,7,3.50,0,0,0,0.0,0,0
5,6,2014-10-12,28-069,DET,@,MIN,W 17-3,18,74,4.11,1,3,2,23,11.50,0,1,6,0.0,0,0
6,7,2014-10-19,28-076,DET,,NOR,W 24-23,18,48,2.67,1,5,2,19,9.50,0,1,6,0.0,0,0
7,8,2014-10-26,28-083,DET,@,ATL,W 22-21,14,39,2.79,0,3,2,22,11.00,0,0,0,0.0,0,0
8,9,2014-11-09,28-097,DET,,MIA,W 20-16,10,44,4.40,0,3,2,37,18.50,0,0,0,0.0,0,0
9,10,2014-11-16,28-104,DET,@,ARI,L 6-14,14,85,6.07,0,5,3,30,10.00,0,0,0,0.0,0,0
10,11,2014-11-23,28-111,DET,@,NWE,L 9-34,19,48,2.53,0,2,1,-2,-2.00,0,0,0,0.0,1,0
11,12,2014-11-27,28-115,DET,,CHI,W 34-17,23,91,3.96,2,2,2,16,8.00,0,2,12,0.0,0,0
12,13,2014-12-07,28-125,DET,,TAM,W 34-17,18,83,4.61,1,5,5,50,10.00,1,2,12,0.0,0,0
13,14,2014-12-14,28-132,DET,,MIN,W 16-14,15,62,4.13,0,6,4,41,10.25,0,0,0,0.0,0,0
14,15,2014-12-21,28-139,DET,@,CHI,W 20-14,13,74,5.69,1,3,2,13,6.50,0,1,6,0.0,0,0
15,16,2014-12-28,28-146,DET,@,GNB,L 20-30,13,60,4.62,0,0,0,0,,0,0,0,0.0,0,0
,,15 Games,,,,,11-4-0,223,860,3.86,7,53,34,322,9.47,1,8,48,0.0,2,0
