
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,28-190,DET,,MIN,W 34-24,21,90,4.29,0,8,4,101,25.25,1,1,6,0.0,0,0
2,2,2013-09-15,28-197,DET,@,ARI,L 21-25,9,25,2.78,0,3,3,44,14.67,0,0,0,0.0,0,0
3,4,2013-09-29,28-211,DET,,CHI,W 40-32,18,139,7.72,1,6,4,34,8.50,0,1,6,0.0,0,0
4,5,2013-10-06,28-218,DET,@,GNB,L 9-22,13,44,3.38,0,6,4,25,6.25,0,0,0,0.0,0,0
5,6,2013-10-13,28-225,DET,@,CLE,W 31-17,17,78,4.59,0,6,5,57,11.40,1,1,6,0.0,0,0
6,7,2013-10-20,28-232,DET,,CIN,L 24-27,20,50,2.50,0,5,3,44,14.67,0,0,0,0.0,0,0
7,8,2013-10-27,28-239,DET,,DAL,W 31-30,21,92,4.38,1,9,8,30,3.75,0,1,6,0.0,0,0
8,9,2013-11-10,28-253,DET,@,CHI,W 21-19,14,105,7.50,0,6,3,8,2.67,0,0,0,0.0,0,0
9,10,2013-11-17,28-260,DET,@,PIT,L 27-37,12,31,2.58,0,5,2,23,11.50,0,0,0,0.0,0,0
10,11,2013-11-24,28-267,DET,,TAM,L 21-24,15,83,5.53,0,7,4,17,4.25,0,0,0,0.0,0,0
11,12,2013-11-28,28-271,DET,,GNB,W 40-10,20,117,5.85,1,5,5,65,13.00,0,1,6,0.0,0,0
12,14,2013-12-16,28-289,DET,,BAL,L 16-18,17,86,5.06,1,4,2,15,7.50,0,1,6,0.0,1,0
13,15,2013-12-22,28-295,DET,,NYG,L 20-23,12,34,2.83,0,4,2,10,5.00,0,0,0,0.0,0,0
14,16,2013-12-29,28-302,DET,@,MIN,L 13-14,14,32,2.29,0,6,5,33,6.60,1,1,6,0.0,0,0
,,14 Games,,,,,6-8-0,223,1006,4.51,4,80,54,506,9.37,3,7,42,0.0,1,0
