
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts
1,1,2011-09-11,25-351,DET,@,TAM,W 27-20,10,6,88,14.67,2,0,0,,0,2,12
2,2,2011-09-18,25-358,DET,,KAN,W 48-3,7,3,29,9.67,2,0,0,,0,2,12
3,3,2011-09-25,26-000,DET,@,MIN,W 26-23,11,7,108,15.43,2,0,0,,0,2,12
4,4,2011-10-02,26-007,DET,@,DAL,W 34-30,13,8,96,12.00,2,0,0,,0,2,12
5,5,2011-10-10,26-015,DET,,CHI,W 24-13,6,5,130,26.00,1,0,0,,0,1,6
6,6,2011-10-16,26-021,DET,,SFO,L 19-25,9,7,113,16.14,0,0,0,,0,0,0
7,7,2011-10-23,26-028,DET,,ATL,L 16-23,11,5,115,23.00,1,0,0,,0,1,6
8,8,2011-10-30,26-035,DET,@,DEN,W 45-10,7,6,125,20.83,1,0,0,,0,1,6
9,9,2011-11-13,26-049,DET,@,CHI,L 13-37,19,7,81,11.57,0,0,0,,0,0,0
10,10,2011-11-20,26-056,DET,,CAR,W 49-35,8,5,89,17.80,0,0,0,,0,0,0
11,11,2011-11-24,26-060,DET,,GNB,L 15-27,8,4,49,12.25,1,0,0,,0,1,6
12,12,2011-12-04,26-070,DET,@,NOR,L 17-31,8,6,69,11.50,0,0,0,,0,0,0
13,13,2011-12-11,26-077,DET,,MIN,W 34-28,4,3,29,9.67,0,1,11,11.00,0,0,0
14,14,2011-12-18,26-084,DET,@,OAK,W 28-27,14,9,214,23.78,2,0,0,,0,2,12
15,15,2011-12-24,26-090,DET,,SDG,W 38-10,6,4,102,25.50,1,0,0,,0,1,6
16,16,2012-01-01,26-098,DET,@,GNB,L 41-45,17,11,244,22.18,1,0,0,,0,1,6
,,16 Games,,,,,10-6-0,158,96,1681,17.51,16,1,11,11.00,0,16,96
