
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-08,28-348,DET,,NYG,W 35-14,11,7,164,23.43,2,2,12,0.0,0,0
2,2,2014-09-14,28-354,DET,@,CAR,L 7-24,13,6,83,13.83,0,0,0,0.0,0,0
3,3,2014-09-21,28-361,DET,,GNB,W 19-7,10,6,82,13.67,0,0,0,0.0,1,0
4,4,2014-09-28,29-003,DET,@,NYJ,W 24-17,2,2,12,6.00,0,0,0,0.0,0,0
5,5,2014-10-05,29-010,DET,,BUF,L 14-17,1,1,7,7.00,0,0,0,0.0,0,0
6,9,2014-11-09,29-045,DET,,MIA,W 20-16,15,7,113,16.14,1,1,6,0.0,0,0
7,10,2014-11-16,29-052,DET,@,ARI,L 6-14,12,5,59,11.80,0,0,0,0.0,1,0
8,11,2014-11-23,29-059,DET,@,NWE,L 9-34,10,4,58,14.50,0,0,0,0.0,0,0
9,12,2014-11-27,29-063,DET,,CHI,W 34-17,16,11,146,13.27,2,2,12,0.0,0,0
10,13,2014-12-07,29-073,DET,,TAM,W 34-17,9,8,158,19.75,1,1,6,0.0,0,0
11,14,2014-12-14,29-080,DET,,MIN,W 16-14,6,4,53,13.25,0,0,0,0.0,0,0
12,15,2014-12-21,29-087,DET,@,CHI,W 20-14,12,6,103,17.17,0,0,0,0.0,0,0
13,16,2014-12-28,29-094,DET,@,GNB,L 20-30,11,4,39,9.75,2,2,12,0.0,0,0
,,13 Games,,,,,8-5-0,128,71,1077,15.17,8,8,48,0.0,2,0
