
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,27-199,DET,,STL,W 27-23,10,5,77,15.40,0,0,0
2,2,2012-09-16,27-206,DET,@,SFO,L 19-27,4,3,18,6.00,1,1,6
3,3,2012-09-23,27-213,DET,@,TEN,L 41-44,12,8,61,7.63,0,0,0
4,4,2012-09-30,27-220,DET,,MIN,L 13-20,9,7,67,9.57,0,0,0
5,5,2012-10-14,27-234,DET,@,PHI,W 26-23,7,3,38,12.67,0,0,0
6,6,2012-10-22,27-242,DET,@,CHI,L 7-13,6,5,39,7.80,0,0,0
7,7,2012-10-28,27-248,DET,,SEA,W 28-24,9,7,74,10.57,0,0,0
8,8,2012-11-04,27-255,DET,@,JAX,W 31-14,3,1,11,11.00,0,0,0
9,9,2012-11-11,27-262,DET,@,MIN,L 24-34,9,3,32,10.67,1,1,6
10,10,2012-11-18,27-269,DET,,GNB,L 20-24,7,4,22,5.50,0,0,0
11,11,2012-11-22,27-273,DET,,HOU,L 31-34,15,8,74,9.25,0,0,0
12,12,2012-12-02,27-283,DET,,IND,L 33-35,8,3,43,14.33,1,1,6
13,13,2012-12-09,27-290,DET,@,GNB,L 20-27,,,,,,,
14,16,2012-12-30,27-311,DET,,CHI,L 24-26,3,2,11,5.50,0,0,0
,,14 Games,,,,,4-10-0,102,59,567,9.61,3,3,18
