
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1,2011-09-11,23-216,DET,@,TAM,W 27-20,*,24,33,72.73,305,3,1,118.9,9.24,9.70,1,0,0.00,0
2,2,2011-09-18,23-223,DET,,KAN,W 48-3,*,23,39,58.97,294,4,1,106.1,7.54,8.44,1,1,1.00,0
3,3,2011-09-25,23-230,DET,@,MIN,W 26-23,*,32,46,69.57,378,2,0,108.8,8.22,9.09,1,-1,-1.00,0
4,4,2011-10-02,23-237,DET,@,DAL,W 34-30,*,21,43,48.84,240,2,1,71.9,5.58,5.47,1,-1,-1.00,0
5,5,2011-10-10,23-245,DET,,CHI,W 24-13,*,19,26,73.08,219,2,1,107.7,8.42,8.23,1,1,1.00,0
6,6,2011-10-16,23-251,DET,,SFO,L 19-25,*,28,50,56.00,293,2,0,86.5,5.86,6.66,1,9,9.00,0
7,7,2011-10-23,23-258,DET,,ATL,L 16-23,*,15,32,46.88,183,1,0,75.4,5.72,6.34,0,0,,0
8,8,2011-10-30,23-265,DET,@,DEN,W 45-10,*,21,30,70.00,267,3,0,130.8,8.90,10.90,1,21,21.00,0
9,9,2011-11-13,23-279,DET,@,CHI,L 13-37,*,33,63,52.38,329,1,4,46.3,5.22,2.68,2,1,0.50,0
10,10,2011-11-20,23-286,DET,,CAR,W 49-35,*,28,36,77.78,335,5,2,121.9,9.31,9.58,4,2,0.50,0
11,11,2011-11-24,23-290,DET,,GNB,L 15-27,*,32,45,71.11,276,1,3,66.5,6.13,3.58,4,31,7.75,0
12,12,2011-12-04,23-300,DET,@,NOR,L 17-31,*,31,44,70.45,408,1,1,97.5,9.27,8.70,0,0,,0
13,13,2011-12-11,23-307,DET,,MIN,W 34-28,*,20,29,68.97,227,2,0,115.2,7.83,9.21,2,4,2.00,0
14,14,2011-12-18,23-314,DET,@,OAK,W 28-27,*,29,52,55.77,391,4,0,105.5,7.52,9.06,1,5,5.00,0
15,15,2011-12-24,23-320,DET,,SDG,W 38-10,*,29,36,80.56,373,3,0,137.6,10.36,12.03,2,5,2.50,0
16,16,2012-01-01,23-328,DET,@,GNB,L 41-45,*,36,59,61.02,520,5,2,103.8,8.81,8.98,0,0,,0
,,16 Games,,,,,10-6-0,,421,663,63.50,5038,41,16,97.2,7.60,7.75,22,78,3.55,0
