
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,24-215,DET,,STL,W 27-23,*,32,48,66.67,355,1,3,69.4,7.40,5.00,0,0,,0,1,1,3,3.00,0,0,0
2,2,2012-09-16,24-222,DET,@,SFO,L 19-27,*,19,32,59.38,230,1,1,78.9,7.19,6.41,2,10,5.00,0,0,0,0,,0,0,0
3,3,2012-09-23,24-229,DET,@,TEN,L 41-44,*,33,42,78.57,278,1,0,102.2,6.62,7.10,2,12,6.00,0,0,0,0,,0,0,0
4,4,2012-09-30,24-236,DET,,MIN,L 13-20,*,30,51,58.82,319,0,0,77.2,6.25,6.25,4,14,3.50,1,0,0,0,,0,1,6
5,5,2012-10-14,24-250,DET,@,PHI,W 26-23,*,22,45,48.89,311,1,1,69.8,6.91,6.36,3,7,2.33,1,0,0,0,,0,1,6
6,6,2012-10-22,24-258,DET,@,CHI,L 7-13,*,28,46,60.87,263,1,1,74.8,5.72,5.17,3,21,7.00,0,0,0,0,,0,0,0
7,7,2012-10-28,24-264,DET,,SEA,W 28-24,*,34,49,69.39,352,3,1,101.7,7.18,7.49,4,12,3.00,1,0,0,0,,0,1,6
8,8,2012-11-04,24-271,DET,@,JAX,W 31-14,*,22,33,66.67,285,0,0,93.6,8.64,8.64,2,-2,-1.00,0,0,0,0,,0,0,0
9,9,2012-11-11,24-278,DET,@,MIN,L 24-34,*,28,42,66.67,329,3,1,104.2,7.83,8.19,3,13,4.33,0,0,0,0,,0,0,0
10,10,2012-11-18,24-285,DET,,GNB,L 20-24,*,17,39,43.59,266,1,2,54.0,6.82,5.03,2,12,6.00,0,0,0,0,,0,0,0
11,11,2012-11-22,24-289,DET,,HOU,L 31-34,*,31,61,50.82,441,2,0,85.5,7.23,7.89,2,7,3.50,0,0,0,0,,0,0,0
12,12,2012-12-02,24-299,DET,,IND,L 33-35,*,27,46,58.70,313,2,1,84.8,6.80,6.70,1,0,0.00,0,0,0,0,,0,0,0
13,13,2012-12-09,24-306,DET,@,GNB,L 20-27,*,27,45,60.00,264,1,1,74.7,5.87,5.31,3,9,3.00,1,0,0,0,,0,1,6
14,14,2012-12-16,24-313,DET,@,ARI,L 10-38,*,24,50,48.00,246,0,3,37.6,4.92,2.22,0,0,,0,0,0,0,,0,0,0
15,15,2012-12-22,24-319,DET,,ATL,L 18-31,*,37,56,66.07,443,0,1,82.7,7.91,7.11,1,2,2.00,0,0,0,0,,0,0,0
16,16,2012-12-30,24-327,DET,,CHI,L 24-26,*,24,42,57.14,272,3,1,90.6,6.48,6.83,3,9,3.00,0,0,0,0,,0,0,0
,,16 Games,,,,,4-12-0,,435,727,59.83,4967,20,17,79.8,6.83,6.33,35,126,3.60,4,1,1,3,3.00,0,4,24
