
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,25-213,DET,,MIN,W 34-24,*,28,43,65.12,357,2,1,96.8,8.30,8.19,6,-3,-0.50,0,0,0,0.0,0,0
2,2,2013-09-15,25-220,DET,@,ARI,L 21-25,*,24,36,66.67,278,2,0,108.3,7.72,8.83,2,1,0.50,0,0,0,0.0,0,0
3,3,2013-09-22,25-227,DET,@,WAS,W 27-20,*,25,42,59.52,385,2,1,95.8,9.17,9.05,1,2,2.00,0,0,0,0.0,0,0
4,4,2013-09-29,25-234,DET,,CHI,W 40-32,*,23,35,65.71,242,1,1,83.3,6.91,6.20,5,8,1.60,1,1,6,0.0,0,0
5,5,2013-10-06,25-241,DET,@,GNB,L 9-22,*,25,40,62.50,262,1,0,89.8,6.55,7.05,1,-1,-1.00,0,0,0,0.0,0,0
6,6,2013-10-13,25-248,DET,@,CLE,W 31-17,*,25,43,58.14,248,4,1,95.9,5.77,6.58,2,6,3.00,0,0,0,0.0,0,1
7,7,2013-10-20,25-255,DET,,CIN,L 24-27,*,28,51,54.90,357,3,0,96.6,7.00,8.18,0,0,,0,0,0,0.0,0,0
8,8,2013-10-27,25-262,DET,,DAL,W 31-30,*,33,48,68.75,488,1,2,91.3,10.17,8.71,3,12,4.00,1,1,6,0.0,0,0
9,9,2013-11-10,25-276,DET,@,CHI,W 21-19,*,18,35,51.43,219,3,1,87.7,6.26,6.69,2,-1,-0.50,0,0,0,0.0,0,0
10,10,2013-11-17,25-283,DET,@,PIT,L 27-37,*,19,46,41.30,362,2,1,74.7,7.87,7.76,3,24,8.00,0,0,0,0.0,1,0
11,11,2013-11-24,25-290,DET,,TAM,L 21-24,*,26,46,56.52,297,3,4,61.6,6.46,3.85,2,6,3.00,0,0,0,0.0,0,0
12,12,2013-11-28,25-294,DET,,GNB,W 40-10,*,22,35,62.86,330,3,2,98.5,9.43,8.57,1,8,8.00,0,0,0,0.0,1,0
13,13,2013-12-08,25-304,DET,@,PHI,L 20-34,*,10,25,40.00,151,0,0,60.6,6.04,6.04,6,-1,-0.17,0,0,0,0.0,1,0
14,14,2013-12-16,25-312,DET,,BAL,L 16-18,*,18,34,52.94,235,1,3,48.0,6.91,3.53,2,9,4.50,0,0,0,0.0,0,0
15,15,2013-12-22,25-318,DET,,NYG,L 20-23,*,25,42,59.52,222,0,2,53.9,5.29,3.14,1,-1,-1.00,0,0,0,0.0,0,0
16,16,2013-12-29,25-325,DET,@,MIN,L 13-14,*,22,33,66.67,217,1,0,95.1,6.58,7.18,0,0,,0,0,0,0.0,0,0
,,16 Games,,,,,7-9-0,,371,634,58.52,4650,29,19,84.2,7.33,6.90,37,69,1.86,2,2,12,0.0,3,1
