
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-08,26-037,DET,,NYG,W 35-14,6,6,93,15.50,0,1,4,4.00,0,0,0,0.0,0,0
2,2,2014-09-14,26-043,DET,@,CAR,L 7-24,8,5,57,11.40,0,0,0,,0,0,0,0.0,0,0
3,3,2014-09-21,26-050,DET,,GNB,W 19-7,7,5,51,10.20,0,0,0,,0,0,0,0.0,0,0
4,4,2014-09-28,26-057,DET,@,NYJ,W 24-17,10,8,116,14.50,0,0,0,,0,0,0,0.0,0,0
5,5,2014-10-05,26-064,DET,,BUF,L 14-17,9,7,134,19.14,1,0,0,,0,1,6,0.0,1,0
6,6,2014-10-12,26-071,DET,@,MIN,W 17-3,12,7,44,6.29,0,0,0,,0,0,0,0.0,0,0
7,7,2014-10-19,26-078,DET,,NOR,W 24-23,13,10,154,15.40,1,0,0,,0,1,6,0.0,0,0
8,8,2014-10-26,26-085,DET,@,ATL,W 22-21,15,7,151,21.57,1,0,0,,0,1,6,0.0,0,0
9,9,2014-11-09,26-099,DET,,MIA,W 20-16,13,11,109,9.91,0,0,0,,0,0,0,0.0,0,0
10,10,2014-11-16,26-106,DET,@,ARI,L 6-14,2,2,41,20.50,0,1,8,8.00,0,0,0,0.0,0,0
11,11,2014-11-23,26-113,DET,@,NWE,L 9-34,11,4,97,24.25,0,1,13,13.00,0,0,0,0.0,0,0
12,12,2014-11-27,26-117,DET,,CHI,W 34-17,10,8,89,11.13,0,0,0,,0,0,0,0.0,0,0
13,13,2014-12-07,26-127,DET,,TAM,W 34-17,5,4,50,12.50,0,0,0,,0,0,0,0.0,0,0
14,14,2014-12-14,26-134,DET,,MIN,W 16-14,7,7,38,5.43,1,2,5,2.50,0,1,6,0.0,0,0
15,15,2014-12-21,26-141,DET,@,CHI,W 20-14,10,5,62,12.40,0,0,0,,0,0,0,0.0,1,0
16,16,2014-12-28,26-148,DET,@,GNB,L 20-30,6,3,45,15.00,0,0,0,,0,0,0,0.0,0,0
,,16 Games,,,,,11-5-0,144,99,1331,13.44,4,5,30,6.00,0,4,24,0.0,2,0
