
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,2PM,TD,Pts
1,1,2011-09-11,22-021,DET,@,TAM,W 27-20,1,0,0,,0,0,0,,0,,0,0
2,2,2011-09-18,22-028,DET,,KAN,W 48-3,7,5,89,17.80,0,0,0,,0,,0,0
3,3,2011-09-25,22-035,DET,@,MIN,W 26-23,8,4,51,12.75,0,0,0,,0,,0,0
4,4,2011-10-02,22-042,DET,@,DAL,W 34-30,5,3,41,13.67,0,0,0,,0,,0,0
5,5,2011-10-10,22-050,DET,,CHI,W 24-13,4,2,14,7.00,0,0,0,,0,,0,0
6,6,2011-10-16,22-056,DET,,SFO,L 19-25,6,1,14,14.00,0,0,0,,0,,0,0
7,7,2011-10-23,22-063,DET,,ATL,L 16-23,3,0,0,,0,0,0,,0,,0,0
8,8,2011-10-30,22-070,DET,@,DEN,W 45-10,5,4,66,16.50,1,0,0,,0,,1,6
9,9,2011-11-13,22-084,DET,@,CHI,L 13-37,9,7,74,10.57,0,0,0,,0,,0,0
10,10,2011-11-20,22-091,DET,,CAR,W 49-35,3,2,14,7.00,1,0,0,,0,,1,6
11,11,2011-11-24,22-095,DET,,GNB,L 15-27,3,1,13,13.00,0,0,0,,0,1,0,2
12,12,2011-12-04,22-105,DET,@,NOR,L 17-31,2,2,60,30.00,0,1,11,11.00,0,,0,0
13,13,2011-12-11,22-112,DET,,MIN,W 34-28,7,4,87,21.75,1,0,0,,0,,1,6
14,14,2011-12-18,22-119,DET,@,OAK,W 28-27,10,5,21,4.20,1,1,4,4.00,0,,1,6
15,15,2011-12-24,22-125,DET,,SDG,W 38-10,5,4,39,9.75,0,0,0,,0,,0,0
16,16,2012-01-01,22-133,DET,@,GNB,L 41-45,8,4,24,6.00,2,0,0,,0,,2,12
,,16 Games,,,,,10-6-0,86,48,607,12.65,6,2,15,7.50,0,1,6,38
