
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts
1,1,2014-09-04,24-013,GNB,@,SEA,L 16-36,9,6,58,9.67,1,0,0,,0,0,0,,0,0,0,,0,,1,6
2,2,2014-09-14,24-023,GNB,,NYJ,W 31-24,6,5,39,7.80,2,2,6,3.00,0,0,0,,0,1,7,7.00,0,1,2,14
3,3,2014-09-21,24-030,GNB,@,DET,L 7-19,6,3,29,9.67,0,0,0,,0,0,0,,0,2,23,11.50,0,,0,0
4,4,2014-09-28,24-037,GNB,@,CHI,W 38-17,9,7,113,16.14,2,0,0,,0,0,0,,0,0,0,,0,,2,12
5,5,2014-10-02,24-041,GNB,,MIN,W 42-10,4,3,34,11.33,1,0,0,,0,0,0,,0,3,18,6.00,0,,1,6
6,6,2014-10-12,24-051,GNB,@,MIA,W 27-24,7,5,58,11.60,1,1,1,1.00,0,0,0,,0,0,0,,0,,1,6
7,7,2014-10-19,24-058,GNB,,CAR,W 38-17,7,6,121,20.17,1,1,2,2.00,0,0,0,,0,2,38,19.00,0,,1,6
8,8,2014-10-26,24-065,GNB,@,NOR,L 23-44,7,5,126,25.20,1,0,0,,0,0,0,,0,0,0,,0,,1,6
9,9,2014-11-09,24-079,GNB,,CHI,W 55-14,6,4,72,18.00,1,0,0,,0,0,0,,0,2,16,8.00,0,,1,6
10,10,2014-11-16,24-086,GNB,,PHI,W 53-20,13,10,129,12.90,0,0,0,,0,0,0,,0,0,0,,0,,0,0
11,11,2014-11-23,24-093,GNB,@,MIN,W 24-21,5,4,58,14.50,0,0,0,,0,0,0,,0,1,3,3.00,0,,0,0
12,12,2014-11-30,24-100,GNB,,NWE,W 26-21,11,7,85,12.14,0,2,8,4.00,0,0,0,,0,0,0,,0,,0,0
13,13,2014-12-08,24-108,GNB,,ATL,W 43-37,5,4,58,14.50,0,1,-1,-1.00,0,0,0,,0,0,0,,0,,0,0
14,14,2014-12-14,24-114,GNB,@,BUF,L 13-21,13,7,96,13.71,0,2,15,7.50,0,0,0,,0,1,5,5.00,0,,0,0
15,15,2014-12-21,24-121,GNB,@,TAM,W 20-3,14,11,131,11.91,0,0,0,,0,0,0,,0,2,2,1.00,0,,0,0
16,16,2014-12-28,24-128,GNB,,DET,W 30-20,5,4,80,20.00,2,2,6,3.00,0,1,0,0.00,0,0,0,,0,,2,12
,,16 Games,,,,,12-4-0,127,91,1287,14.14,12,11,37,3.36,0,1,0,0.00,0,14,112,8.00,0,1,12,74
