
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-08,24-166,GNB,,NOR,W 42-34,4,3,53,17.67,0,0,0,0.0,0,0
2,2,2011-09-18,24-176,GNB,@,CAR,W 30-23,6,5,68,13.60,0,0,0,0.0,0,0
3,3,2011-09-25,24-183,GNB,@,CHI,W 27-17,8,7,85,12.14,3,3,18,0.0,0,0
4,4,2011-10-02,24-190,GNB,,DEN,W 49-23,6,3,28,9.33,0,0,0,0.0,0,0
5,5,2011-10-09,24-197,GNB,@,ATL,W 25-14,7,4,67,16.75,0,0,0,0.0,0,0
6,6,2011-10-16,24-204,GNB,,STL,W 24-3,4,1,20,20.00,0,0,0,0.0,0,0
7,7,2011-10-23,24-211,GNB,@,MIN,W 33-27,2,2,13,6.50,1,1,6,0.0,0,0
8,8,2011-11-06,24-225,GNB,@,SDG,W 45-38,7,5,44,8.80,1,1,6,0.0,0,0
9,9,2011-11-14,24-233,GNB,,MIN,W 45-7,4,3,67,22.33,0,0,0,0.0,0,0
10,10,2011-11-20,24-239,GNB,,TAM,W 35-26,3,1,30,30.00,0,0,0,0.0,0,0
11,11,2011-11-24,24-243,GNB,@,DET,W 27-15,5,2,38,19.00,0,0,0,0.0,0,0
12,12,2011-12-04,24-253,GNB,@,NYG,W 38-35,11,6,87,14.50,1,1,6,0.0,1,0
13,13,2011-12-11,24-260,GNB,,OAK,W 46-16,1,0,0,,0,0,0,0.0,0,0
14,14,2011-12-18,24-267,GNB,@,KAN,L 14-19,10,3,83,27.67,0,0,0,0.0,0,0
15,15,2011-12-25,24-274,GNB,,CHI,W 35-21,6,3,20,6.67,1,1,6,0.0,0,0
16,16,2012-01-01,24-281,GNB,,DET,W 45-41,8,7,64,9.14,1,1,6,0.0,1,0
,,16 Games,,,,,15-1-0,92,55,767,13.95,8,8,48,0.0,2,0
