
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-08,27-352,GNB,,NOR,W 42-34,8,7,89,12.71,1,1,6,0.0,0,0
2,2,2011-09-18,27-362,GNB,@,CAR,W 30-23,8,2,55,27.50,1,1,6,0.0,0,0
3,3,2011-09-25,28-004,GNB,@,CHI,W 27-17,10,9,119,13.22,0,0,0,0.0,0,0
4,4,2011-10-02,28-011,GNB,,DEN,W 49-23,7,7,103,14.71,1,1,6,0.0,0,0
5,5,2011-10-09,28-018,GNB,@,ATL,W 25-14,5,4,82,20.50,1,1,6,0.0,0,0
6,6,2011-10-16,28-025,GNB,,STL,W 24-3,10,6,82,13.67,0,0,0,0.0,1,0
7,7,2011-10-23,28-032,GNB,@,MIN,W 33-27,10,7,147,21.00,1,1,6,0.0,0,0
8,8,2011-11-06,28-046,GNB,@,SDG,W 45-38,8,6,46,7.67,1,1,6,0.0,0,0
9,9,2011-11-14,28-054,GNB,,MIN,W 45-7,5,3,32,10.67,1,1,6,0.0,0,0
10,10,2011-11-20,28-060,GNB,,TAM,W 35-26,6,2,6,3.00,0,0,0,0.0,0,0
11,11,2011-11-24,28-064,GNB,@,DET,W 27-15,5,5,74,14.80,1,1,6,0.0,0,0
12,12,2011-12-04,28-074,GNB,@,NYG,W 38-35,14,7,94,13.43,1,1,6,0.0,0,0
13,13,2011-12-11,28-081,GNB,,OAK,W 46-16,5,2,20,10.00,0,0,0,0.0,0,0
,,13 Games,,,,,13-0-0,101,67,949,14.16,9,9,54,0.0,1,0
