
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,23-098,GNB,@,SFO,L 28-34,14,41,2.93,1,2,1,31,31.00,0,1,6,0.0,0,0
2,2,2013-09-15,23-105,GNB,,WAS,W 38-20,1,10,10.00,0,0,0,0,,0,0,0,0.0,0,0
3,4,2013-10-06,23-126,GNB,,DET,W 22-9,23,99,4.30,0,1,1,-2,-2.00,0,0,0,0.0,0,0
4,5,2013-10-13,23-133,GNB,@,BAL,W 19-17,23,120,5.22,0,1,1,5,5.00,0,0,0,0.0,0,0
5,6,2013-10-20,23-140,GNB,,CLE,W 31-13,22,82,3.73,1,7,5,26,5.20,0,1,6,0.0,0,0
6,7,2013-10-27,23-147,GNB,@,MIN,W 44-31,29,94,3.24,1,4,4,18,4.50,0,1,6,0.0,0,0
7,8,2013-11-04,23-155,GNB,,CHI,L 20-27,22,150,6.82,1,0,0,0,,0,1,6,0.0,0,0
8,9,2013-11-10,23-161,GNB,,PHI,L 13-27,24,73,3.04,0,2,2,11,5.50,0,0,0,0.0,1,0
9,10,2013-11-17,23-168,GNB,@,NYG,L 13-27,14,27,1.93,1,2,2,21,10.50,0,1,6,0.0,1,0
10,11,2013-11-24,23-175,GNB,,MIN,T 26-26,25,110,4.40,1,6,6,48,8.00,0,1,6,0.0,0,0
11,12,2013-11-28,23-179,GNB,@,DET,L 10-40,10,16,1.60,0,4,2,23,11.50,0,0,0,0.0,0,0
12,13,2013-12-08,23-189,GNB,,ATL,W 22-21,20,65,3.25,1,5,3,25,8.33,0,1,6,0.0,0,0
13,14,2013-12-15,23-196,GNB,@,DAL,W 37-36,21,141,6.71,1,5,4,30,7.50,0,1,6,0.0,0,0
14,15,2013-12-22,23-203,GNB,,PIT,L 31-38,15,84,5.60,2,3,2,6,3.00,0,2,12,0.0,0,0
15,16,2013-12-29,23-210,GNB,@,CHI,W 33-28,21,66,3.14,1,2,2,15,7.50,0,1,6,0.0,0,0
,,15 Games,,,,,8-6-1,284,1178,4.15,11,44,35,257,7.34,0,11,66,0.0,2,0
