
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts
1,1,2012-09-09,27-101,GNB,,SFO,L 22-30,7,5,64,12.80,0,1,0,2
2,2,2012-09-13,27-105,GNB,,CHI,W 23-10,9,6,84,14.00,0,,0,0
3,3,2012-09-24,27-116,GNB,@,SEA,L 12-14,3,2,19,9.50,0,,0,0
4,4,2012-09-30,27-122,GNB,,NOR,W 28-27,12,8,93,11.63,1,,1,6
5,5,2012-10-07,27-129,GNB,@,IND,L 27-30,5,2,29,14.50,0,,0,0
6,6,2012-10-14,27-136,GNB,@,HOU,W 42-24,12,9,121,13.44,3,,3,18
7,7,2012-10-21,27-143,GNB,@,STL,W 30-20,9,8,122,15.25,1,,1,6
8,9,2012-11-04,27-157,GNB,,ARI,W 31-17,1,0,0,,0,,0,0
9,10,2012-11-18,27-171,GNB,@,DET,W 24-20,5,3,45,15.00,0,,0,0
10,11,2012-11-25,27-178,GNB,@,NYG,L 10-38,4,2,71,35.50,1,,1,6
11,12,2012-12-02,27-185,GNB,,MIN,W 23-14,1,1,10,10.00,0,,0,0
12,16,2012-12-30,27-213,GNB,@,MIN,L 34-37,5,3,87,29.00,1,,1,6
,,12 Games,,,,,7-5-0,73,49,745,15.20,7,1,7,44
