
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,28-100,GNB,@,SFO,L 28-34,10,7,130,18.57,1,1,6,0.0,0,0
2,2,2013-09-15,28-107,GNB,,WAS,W 38-20,4,3,66,22.00,2,2,12,0.0,0,0
3,3,2013-09-22,28-114,GNB,@,CIN,L 30-34,9,8,93,11.63,0,0,0,0.0,0,0
4,4,2013-10-06,28-128,GNB,,DET,W 22-9,7,5,82,16.40,0,0,0,0.0,0,0
5,5,2013-10-13,28-135,GNB,@,BAL,W 19-17,10,4,113,28.25,1,1,6,0.0,0,0
6,6,2013-10-20,28-142,GNB,,CLE,W 31-13,6,5,42,8.40,1,1,6,0.0,0,0
7,7,2013-10-27,28-149,GNB,@,MIN,W 44-31,8,7,123,17.57,2,2,12,0.0,0,0
8,8,2013-11-04,28-157,GNB,,CHI,L 20-27,9,4,67,16.75,0,0,0,0.0,0,0
9,9,2013-11-10,28-163,GNB,,PHI,L 13-27,10,6,56,9.33,0,0,0,0.0,0,0
10,10,2013-11-17,28-170,GNB,@,NYG,L 13-27,9,8,117,14.63,0,0,0,0.0,0,0
11,11,2013-11-24,28-177,GNB,,MIN,T 26-26,7,4,58,14.50,0,0,0,0.0,0,0
12,12,2013-11-28,28-181,GNB,@,DET,L 10-40,4,2,14,7.00,0,0,0,0.0,0,0
13,13,2013-12-08,28-191,GNB,,ATL,W 22-21,4,4,85,21.25,0,0,0,0.0,0,0
14,14,2013-12-15,28-198,GNB,@,DAL,W 37-36,9,5,61,12.20,1,1,6,0.0,0,0
15,15,2013-12-22,28-205,GNB,,PIT,L 31-38,5,3,46,15.33,0,0,0,0.0,0,0
16,16,2013-12-29,28-212,GNB,@,CHI,W 33-28,16,10,161,16.10,0,0,0,0.0,1,0
,,16 Games,,,,,8-7-1,127,85,1314,15.46,8,8,48,0.0,1,0
