
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1,2011-09-08,27-280,GNB,,NOR,W 42-34,*,27,35,77.14,312,3,0,132.1,8.91,10.63,4,1,0.25,0,0,0
2,2,2011-09-18,27-290,GNB,@,CAR,W 30-23,*,19,30,63.33,308,2,0,119.9,10.27,11.60,5,13,2.60,0,0,0
3,3,2011-09-25,27-297,GNB,@,CHI,W 27-17,*,28,38,73.68,297,3,1,111.4,7.82,8.21,1,3,3.00,0,0,0
4,4,2011-10-02,27-304,GNB,,DEN,W 49-23,*,29,38,76.32,408,4,1,134.5,10.74,11.66,9,36,4.00,2,2,12
5,5,2011-10-09,27-311,GNB,@,ATL,W 25-14,*,26,39,66.67,396,2,0,117.0,10.15,11.18,1,-1,-1.00,0,0,0
6,6,2011-10-16,27-318,GNB,,STL,W 24-3,*,18,29,62.07,316,3,1,119.3,10.90,11.41,7,15,2.14,0,0,0
7,7,2011-10-23,27-325,GNB,@,MIN,W 33-27,*,24,30,80.00,335,3,0,146.5,11.17,13.17,2,8,4.00,0,0,0
8,8,2011-11-06,27-339,GNB,@,SDG,W 45-38,*,21,26,80.77,247,4,0,145.8,9.50,12.58,8,52,6.50,0,0,0
9,9,2011-11-14,27-347,GNB,,MIN,W 45-7,*,23,30,76.67,250,4,0,140.3,8.33,11.00,6,21,3.50,0,0,0
10,10,2011-11-20,27-353,GNB,,TAM,W 35-26,*,23,34,67.65,299,3,1,112.3,8.79,9.24,5,28,5.60,0,0,0
11,11,2011-11-24,27-357,GNB,@,DET,W 27-15,*,22,33,66.67,307,2,0,116.6,9.30,10.52,1,-1,-1.00,0,0,0
12,12,2011-12-04,28-002,GNB,@,NYG,W 38-35,*,28,46,60.87,369,4,1,106.2,8.02,8.78,4,32,8.00,0,0,0
13,13,2011-12-11,28-009,GNB,,OAK,W 46-16,*,17,30,56.67,281,2,1,96.7,9.37,9.20,0,0,,0,0,0
14,14,2011-12-18,28-016,GNB,@,KAN,L 14-19,*,17,35,48.57,235,1,0,80.1,6.71,7.29,3,32,10.67,1,1,6
15,15,2011-12-25,28-023,GNB,,CHI,W 35-21,*,21,29,72.41,283,5,0,142.7,9.76,13.21,4,18,4.50,0,0,0
,,15 Games,,,,,14-1-0,,343,502,68.33,4643,45,6,122.5,9.25,10.50,60,257,4.28,3,3,18
