
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,28-282,GNB,,SFO,L 22-30,*,30,44,68.18,303,2,1,93.3,6.89,6.77,5,27,5.40,0,0,0,0,,0,0,0
2,2,2012-09-13,28-286,GNB,,CHI,W 23-10,*,22,32,68.75,219,1,1,85.3,6.84,6.06,3,-6,-2.00,0,0,0,0,,0,0,0
3,3,2012-09-24,28-297,GNB,@,SEA,L 12-14,*,26,39,66.67,223,0,0,81.5,5.72,5.72,2,17,8.50,0,0,0,0,,0,0,0
4,4,2012-09-30,28-303,GNB,,NOR,W 28-27,*,31,41,75.61,319,4,1,119.9,7.78,8.63,5,13,2.60,0,0,0,0,,0,0,0
5,5,2012-10-07,28-310,GNB,@,IND,L 27-30,*,20,32,62.50,235,3,1,103.0,7.34,7.81,5,57,11.40,0,0,0,0,,0,0,0
6,6,2012-10-14,28-317,GNB,@,HOU,W 42-24,*,24,37,64.86,338,6,0,133.8,9.14,12.38,2,17,8.50,0,0,0,0,,0,0,0
7,7,2012-10-21,28-324,GNB,@,STL,W 30-20,*,30,37,81.08,342,3,0,132.2,9.24,10.86,2,0,0.00,0,0,0,0,,0,0,0
8,8,2012-10-28,28-331,GNB,,JAX,W 24-15,*,22,35,62.86,186,2,0,95.7,5.31,6.46,3,4,1.33,0,0,0,0,,0,0,0
9,9,2012-11-04,28-338,GNB,,ARI,W 31-17,*,14,30,46.67,218,4,1,96.9,7.27,8.43,8,33,4.13,0,0,0,0,,0,0,0
10,10,2012-11-18,28-352,GNB,@,DET,W 24-20,*,19,27,70.37,236,2,1,106.4,8.74,8.56,1,3,3.00,0,0,0,0,,0,0,0
11,11,2012-11-25,28-359,GNB,@,NYG,L 10-38,*,14,25,56.00,219,1,1,81.9,8.76,7.76,3,22,7.33,0,0,0,0,,0,0,0
12,12,2012-12-02,29-000,GNB,,MIN,W 23-14,*,27,35,77.14,286,1,1,98.0,8.17,7.46,4,15,3.75,0,0,0,0,,0,0,0
13,13,2012-12-09,29-007,GNB,,DET,W 27-20,*,14,24,58.33,173,0,0,80.7,7.21,7.21,3,32,10.67,1,0,0,0,,0,1,6
14,14,2012-12-16,29-014,GNB,@,CHI,W 21-13,*,23,36,63.89,291,3,0,116.8,8.08,9.75,4,14,3.50,0,1,1,-1,-1.00,0,0,0
15,15,2012-12-23,29-021,GNB,,TEN,W 55-7,*,27,38,71.05,342,3,0,125.1,9.00,10.58,4,11,2.75,1,0,0,0,,0,1,6
16,16,2012-12-30,29-028,GNB,@,MIN,L 34-37,*,28,40,70.00,365,4,0,131.8,9.13,11.13,0,0,,0,0,0,0,,0,0,0
,,16 Games,,,,,11-5-0,,371,552,67.21,4295,39,8,108.0,7.78,8.54,54,259,4.80,2,1,1,-1,-1.00,0,2,12
