
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1,2013-09-08,29-280,GNB,@,SFO,L 28-34,*,21,37,56.76,333,3,1,102.6,9.00,9.41,2,13,6.50,0
2,2,2013-09-15,29-287,GNB,,WAS,W 38-20,*,34,42,80.95,480,4,0,146.0,11.43,13.33,3,-3,-1.00,0
3,3,2013-09-22,29-294,GNB,@,CIN,L 30-34,*,26,43,60.47,244,1,2,64.5,5.67,4.05,3,24,8.00,0
4,4,2013-10-06,29-308,GNB,,DET,W 22-9,*,20,30,66.67,274,1,0,106.8,9.13,9.80,5,8,1.60,0
5,5,2013-10-13,29-315,GNB,@,BAL,W 19-17,*,17,32,53.13,315,1,1,84.8,9.84,9.06,5,21,4.20,0
6,6,2013-10-20,29-322,GNB,,CLE,W 31-13,*,25,36,69.44,260,3,0,117.8,7.22,8.89,4,12,3.00,0
7,7,2013-10-27,29-329,GNB,@,MIN,W 44-31,*,24,29,82.76,285,2,0,130.6,9.83,11.21,6,31,5.17,0
8,8,2013-11-04,29-337,GNB,,CHI,L 20-27,*,1,2,50.00,27,0,0,95.8,13.50,13.50,1,9,9.00,0
9,16,2013-12-29,30-027,GNB,@,CHI,W 33-28,*,25,39,64.10,318,2,2,85.2,8.15,6.87,1,5,5.00,0
,,9 Games,,,,,6-3-0,,193,290,66.55,2536,17,6,104.9,8.74,8.99,30,120,4.00,0
