
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-04,30-276,GNB,@,SEA,L 16-36,*,23,33,69.70,189,1,1,81.5,5.73,4.97,0,0,,0,0,0,0.0,0,0
2,2,2014-09-14,30-286,GNB,,NYJ,W 31-24,*,25,42,59.52,346,3,0,109.8,8.24,9.67,6,28,4.67,0,0,0,0.0,1,0
3,3,2014-09-21,30-293,GNB,@,DET,L 7-19,*,16,27,59.26,162,1,0,88.8,6.00,6.74,0,0,,0,0,0,0.0,0,0
4,4,2014-09-28,30-300,GNB,@,CHI,W 38-17,*,22,28,78.57,302,4,0,151.2,10.79,13.64,1,8,8.00,0,0,0,0.0,0,0
5,5,2014-10-02,30-304,GNB,,MIN,W 42-10,*,12,17,70.59,156,3,0,138.7,9.18,12.71,0,0,,0,0,0,0.0,0,0
6,6,2014-10-12,30-314,GNB,@,MIA,W 27-24,*,24,42,57.14,264,3,0,99.7,6.29,7.71,7,34,4.86,0,0,0,0.0,0,0
7,7,2014-10-19,30-321,GNB,,CAR,W 38-17,*,19,22,86.36,255,3,0,154.5,11.59,14.32,3,21,7.00,0,0,0,0.0,0,0
8,8,2014-10-26,30-328,GNB,@,NOR,L 23-44,*,28,39,71.79,418,1,2,93.7,10.72,8.92,2,21,10.50,1,1,6,0.0,0,0
9,9,2014-11-09,30-342,GNB,,CHI,W 55-14,*,18,27,66.67,315,6,0,145.8,11.67,16.11,0,0,,0,0,0,0.0,0,0
10,10,2014-11-16,30-349,GNB,,PHI,W 53-20,*,22,36,61.11,341,3,0,120.3,9.47,11.14,3,32,10.67,0,0,0,0.0,0,0
11,11,2014-11-23,30-356,GNB,@,MIN,W 24-21,*,19,29,65.52,209,2,0,109.7,7.21,8.59,6,34,5.67,0,0,0,0.0,0,0
12,12,2014-11-30,30-363,GNB,,NWE,W 26-21,*,24,38,63.16,368,2,0,112.6,9.68,10.74,5,22,4.40,0,0,0,0.0,0,0
13,13,2014-12-08,31-006,GNB,,ATL,W 43-37,*,24,36,66.67,327,3,0,123.3,9.08,10.75,5,28,5.60,0,0,0,0.0,0,0
14,14,2014-12-14,31-012,GNB,@,BUF,L 13-21,*,17,42,40.48,185,0,2,34.3,4.40,2.26,3,27,9.00,0,0,0,0.0,0,0
15,15,2014-12-21,31-019,GNB,@,TAM,W 20-3,*,31,40,77.50,318,1,0,108.1,7.95,8.45,0,0,,0,0,0,0.0,0,0
16,16,2014-12-28,31-026,GNB,,DET,W 30-20,*,17,22,77.27,226,2,0,139.6,10.27,12.09,2,14,7.00,1,1,6,0.0,0,0
,,16 Games,,,,,12-4-0,,341,520,65.58,4381,38,5,112.2,8.43,9.45,43,269,6.26,2,2,12,0.0,1,0
