
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,28-306,HOU,,IND,W 34-7,2,1,12,12.00,0,0,0,0.0,0,0
2,2,2011-09-18,28-313,HOU,@,MIA,W 23-13,5,3,25,8.33,1,1,6,0.0,0,0
3,3,2011-09-25,28-320,HOU,@,NOR,L 33-40,9,5,76,15.20,1,1,6,0.0,0,0
4,4,2011-10-02,28-327,HOU,,PIT,W 17-10,7,5,69,13.80,1,1,6,0.0,0,0
5,5,2011-10-09,28-334,HOU,,OAK,L 20-25,11,7,89,12.71,0,0,0,0.0,0,0
6,6,2011-10-16,28-341,HOU,@,BAL,L 14-29,3,2,13,6.50,0,0,0,0.0,0,0
7,7,2011-10-23,28-348,HOU,@,TEN,W 41-7,5,4,71,17.75,0,0,0,0.0,0,0
8,8,2011-10-30,28-355,HOU,,JAX,W 24-14,6,4,60,15.00,0,0,0,0.0,0,0
9,9,2011-11-06,28-362,HOU,,CLE,W 30-12,4,3,32,10.67,0,0,0,0.0,0,0
10,10,2011-11-13,29-004,HOU,@,TAM,W 37-9,3,3,31,10.33,0,0,0,0.0,0,0
11,11,2011-11-27,29-018,HOU,@,JAX,W 20-13,7,4,31,7.75,0,0,0,0.0,0,0
12,12,2011-12-04,29-025,HOU,,ATL,W 17-10,5,3,35,11.67,0,0,0,0.0,0,0
13,13,2011-12-11,29-032,HOU,@,CIN,W 20-19,11,7,100,14.29,0,0,0,0.0,0,1
14,14,2011-12-18,29-039,HOU,,CAR,L 13-28,5,2,29,14.50,0,0,0,0.0,0,0
15,15,2011-12-22,29-043,HOU,@,IND,L 16-19,2,1,4,4.00,0,0,0,0.0,0,0
,,15 Games,,,,,10-5-0,85,54,677,12.54,3,3,18,0.0,0,1
