
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,29-305,HOU,,MIA,W 30-10,8,4,87,21.75,0,0,0
2,2,2012-09-16,29-312,HOU,@,JAX,W 27-7,9,6,47,7.83,0,0,0
3,3,2012-09-23,29-319,HOU,@,DEN,W 31-25,5,3,26,8.67,1,1,6
4,4,2012-09-30,29-326,HOU,,TEN,W 38-14,6,6,72,12.00,1,1,6
5,5,2012-10-08,29-334,HOU,@,NYJ,W 23-17,5,4,79,19.75,1,1,6
6,6,2012-10-14,29-340,HOU,,GNB,L 24-42,5,3,46,15.33,0,0,0
7,7,2012-10-21,29-347,HOU,,BAL,W 43-13,10,7,59,8.43,1,1,6
8,8,2012-11-04,29-361,HOU,,BUF,W 21-9,8,4,62,15.50,1,1,6
9,10,2012-11-18,30-009,HOU,,JAX,W 43-37,9,6,57,9.50,0,0,0
10,11,2012-11-22,30-013,HOU,@,DET,W 34-31,8,4,20,5.00,1,1,6
11,12,2012-12-02,30-023,HOU,@,TEN,W 24-10,10,3,43,14.33,0,0,0
12,13,2012-12-10,30-031,HOU,@,NWE,L 14-42,3,2,24,12.00,0,0,0
13,14,2012-12-16,30-037,HOU,,IND,W 29-17,7,4,40,10.00,0,0,0
14,15,2012-12-23,30-044,HOU,,MIN,L 6-23,7,3,27,9.00,0,0,0
15,16,2012-12-30,30-051,HOU,@,IND,L 16-28,4,3,27,9.00,0,0,0
,,15 Games,,,,,11-4-0,104,62,716,11.55,6,6,36
