
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,28-014,HOU,,WAS,W 17-6,27,103,3.81,0,2,2,17,8.50,0,0,0,,0,0,0,,,,0,0,0.0,0,0
2,2,2014-09-14,28-021,HOU,@,OAK,W 30-14,28,138,4.93,1,3,2,12,6.00,0,0,0,,0,0,0,,,,1,6,0.0,0,0
3,4,2014-09-28,28-035,HOU,,BUF,W 23-17,8,6,0.75,0,10,7,55,7.86,0,0,0,,0,0,0,,,,0,0,0.0,0,0
4,5,2014-10-05,28-042,HOU,@,DAL,L 17-20,23,157,6.83,2,5,2,15,7.50,0,0,0,,0,0,0,,,,2,12,0.0,0,0
5,6,2014-10-09,28-046,HOU,,IND,L 28-33,20,109,5.45,2,4,3,32,10.67,0,0,0,,0,0,0,,,,2,12,0.0,0,0
6,7,2014-10-20,28-057,HOU,@,PIT,L 23-30,20,102,5.10,0,6,4,13,3.25,1,0,0,,0,0,0,,,,1,6,0.0,0,0
7,8,2014-10-26,28-063,HOU,@,TEN,W 30-16,20,151,7.55,2,6,4,22,5.50,1,0,0,,0,0,0,,,,3,18,0.0,0,0
8,9,2014-11-02,28-070,HOU,,PHI,L 21-31,15,56,3.73,0,3,2,63,31.50,1,0,0,,0,0,0,,,,1,6,0.0,0,0
9,12,2014-11-30,28-098,HOU,,TEN,W 45-21,19,79,4.16,0,7,5,26,5.20,1,0,0,,0,0,0,,,,1,6,0.0,0,0
10,13,2014-12-07,28-105,HOU,@,JAX,W 27-13,24,127,5.29,1,4,2,21,10.50,0,0,0,,0,0,0,,,,1,6,0.0,0,0
11,14,2014-12-14,28-112,HOU,@,IND,L 10-17,26,99,3.81,0,4,3,18,6.00,0,0,0,,0,0,0,,,,0,0,0.0,1,0
12,15,2014-12-21,28-119,HOU,,BAL,W 25-13,25,96,3.84,0,4,1,23,23.00,0,1,1,100.00,5,1,0,127.1,5.00,25.00,0,0,0.0,0,0
13,16,2014-12-28,28-126,HOU,,JAX,W 23-17,5,23,4.60,0,1,1,10,10.00,1,0,0,,0,0,0,,,,1,6,0.0,0,0
,,13 Games,,,,,8-5-0,260,1246,4.79,8,59,38,327,8.61,5,1,1,100.00,5,1,0,127.1,5.00,25.00,13,78,0.0,1,0
