
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2013-09-09,27-036,HOU,@,SDG,W 31-28,5,4,27,6.75,1,1,6
2,2,2013-09-15,27-042,HOU,,TEN,W 30-24,5,3,30,10.00,1,1,6
3,3,2013-09-22,27-049,HOU,@,BAL,L 9-30,,,,,,,
4,4,2013-09-29,27-056,HOU,,SEA,L 20-23,6,5,69,13.80,1,1,6
5,5,2013-10-06,27-063,HOU,@,SFO,L 3-34,5,3,15,5.00,0,0,0
6,6,2013-10-13,27-070,HOU,,STL,L 13-38,4,2,25,12.50,0,0,0
7,7,2013-10-20,27-077,HOU,@,KAN,L 16-17,8,3,38,12.67,0,0,0
8,8,2013-11-03,27-091,HOU,,IND,L 24-27,6,4,46,11.50,0,0,0
9,9,2013-11-10,27-098,HOU,@,ARI,L 24-27,3,2,18,9.00,0,0,0
10,10,2013-11-17,27-105,HOU,,OAK,L 23-28,13,7,136,19.43,1,1,6
11,11,2013-11-24,27-112,HOU,,JAX,L 6-13,9,5,32,6.40,0,0,0
12,12,2013-12-01,27-119,HOU,,NWE,L 31-34,11,3,36,12.00,0,0,0
13,13,2013-12-05,27-123,HOU,@,JAX,L 20-27,14,8,73,9.13,1,1,6
,,13 Games,,,,,2-11-0,89,49,545,11.12,5,5,30
