
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,22-093,HOU,,WAS,W 17-6,5,4,89,22.25,1,1,6,0.0,0,0
2,2,2014-09-14,22-100,HOU,@,OAK,W 30-14,5,3,22,7.33,1,1,6,0.0,0,0
3,3,2014-09-21,22-107,HOU,@,NYG,L 17-30,9,6,116,19.33,0,0,0,0.0,0,0
4,4,2014-09-28,22-114,HOU,,BUF,W 23-17,6,5,64,12.80,1,1,6,0.0,1,0
5,5,2014-10-05,22-121,HOU,@,DAL,L 17-20,6,6,63,10.50,0,0,0,0.0,0,0
6,6,2014-10-09,22-125,HOU,,IND,L 28-33,2,1,12,12.00,0,0,0,0.0,0,0
7,7,2014-10-20,22-136,HOU,@,PIT,L 23-30,9,6,108,18.00,0,0,0,0.0,0,0
8,8,2014-10-26,22-142,HOU,@,TEN,W 30-16,11,5,95,19.00,0,0,0,0.0,0,0
9,9,2014-11-02,22-149,HOU,,PHI,L 21-31,11,6,115,19.17,1,1,6,0.0,0,0
10,10,2014-11-16,22-163,HOU,@,CLE,W 23-7,8,4,80,20.00,0,0,0,0.0,0,0
11,11,2014-11-23,22-170,HOU,,CIN,L 13-22,9,5,39,7.80,0,0,0,0.0,0,0
12,12,2014-11-30,22-177,HOU,,TEN,W 45-21,9,9,238,26.44,2,2,12,0.0,0,0
13,13,2014-12-07,22-184,HOU,@,JAX,W 27-13,6,4,49,12.25,0,0,0,0.0,0,0
14,14,2014-12-14,22-191,HOU,@,IND,L 10-17,13,5,77,15.40,0,0,0,0.0,0,0
15,15,2014-12-21,22-198,HOU,,BAL,W 25-13,12,5,38,7.60,0,0,0,0.0,0,0
16,16,2014-12-28,22-205,HOU,,JAX,W 23-17,6,2,5,2.50,0,0,0,0.0,0,0
,,16 Games,,,,,9-7-0,127,76,1210,15.92,6,6,36,0.0,1,0
