
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,31-060,HOU,,MIA,W 30-10,10,8,119,14.88,1,1,6
2,2,2012-09-16,31-067,HOU,@,JAX,W 27-7,4,3,21,7.00,0,0,0
3,3,2012-09-23,31-074,HOU,@,DEN,W 31-25,4,2,72,36.00,1,1,6
4,4,2012-09-30,31-081,HOU,,TEN,W 38-14,6,3,56,18.67,0,0,0
5,5,2012-10-08,31-089,HOU,@,NYJ,W 23-17,6,1,15,15.00,0,0,0
6,6,2012-10-14,31-095,HOU,,GNB,L 24-42,12,8,75,9.38,0,0,0
7,7,2012-10-21,31-102,HOU,,BAL,W 43-13,10,9,86,9.56,0,0,0
8,8,2012-11-04,31-116,HOU,,BUF,W 21-9,10,8,118,14.75,0,0,0
9,9,2012-11-11,31-123,HOU,@,CHI,W 13-6,9,4,35,8.75,0,0,0
10,10,2012-11-18,31-130,HOU,,JAX,W 43-37,19,14,273,19.50,1,1,6
11,11,2012-11-22,31-134,HOU,@,DET,W 34-31,15,9,188,20.89,0,0,0
12,12,2012-12-02,31-144,HOU,@,TEN,W 24-10,7,5,56,11.20,0,0,0
13,13,2012-12-10,31-152,HOU,@,NWE,L 14-42,10,8,95,11.88,0,0,0
14,14,2012-12-16,31-158,HOU,,IND,W 29-17,13,11,151,13.73,1,1,6
15,15,2012-12-23,31-165,HOU,,MIN,L 6-23,10,7,97,13.86,0,0,0
16,16,2012-12-30,31-172,HOU,@,IND,L 16-28,17,12,141,11.75,0,0,0
,,16 Games,,,,,12-4-0,162,112,1598,14.27,4,4,24
