
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-09,32-060,HOU,@,SDG,W 31-28,16,12,146,12.17,0,0,0,0.0,0,0
2,2,2013-09-15,32-066,HOU,,TEN,W 30-24,13,8,76,9.50,0,0,0,0.0,0,0
3,3,2013-09-22,32-073,HOU,@,BAL,L 9-30,6,5,36,7.20,0,0,0,0.0,0,0
4,4,2013-09-29,32-080,HOU,,SEA,L 20-23,12,9,110,12.22,0,0,0,0.0,1,0
5,5,2013-10-06,32-087,HOU,@,SFO,L 3-34,10,3,39,13.00,0,0,0,0.0,1,0
6,6,2013-10-13,32-094,HOU,,STL,L 13-38,8,7,88,12.57,0,0,0,0.0,0,0
7,7,2013-10-20,32-101,HOU,@,KAN,L 16-17,6,4,89,22.25,0,0,0,0.0,0,0
8,8,2013-11-03,32-115,HOU,,IND,L 24-27,13,9,229,25.44,3,3,18,0.0,0,0
9,9,2013-11-10,32-122,HOU,@,ARI,L 24-27,12,5,37,7.40,2,2,12,0.0,0,0
10,10,2013-11-17,32-129,HOU,,OAK,L 23-28,17,10,116,11.60,0,0,0,0.0,1,0
11,11,2013-11-24,32-136,HOU,,JAX,L 6-13,6,2,36,18.00,0,0,0,0.0,0,0
12,12,2013-12-01,32-143,HOU,,NWE,L 31-34,9,8,121,15.13,0,0,0,0.0,0,0
13,13,2013-12-05,32-147,HOU,@,JAX,L 20-27,21,13,154,11.85,0,0,0,0.0,1,0
14,14,2013-12-15,32-157,HOU,@,IND,L 3-25,10,4,18,4.50,0,0,0,0.0,1,0
15,15,2013-12-22,32-164,HOU,,DEN,L 13-37,13,4,63,15.75,0,0,0,0.0,1,0
16,16,2013-12-29,32-171,HOU,@,TEN,L 10-16,9,6,49,8.17,0,0,0,0.0,0,0
,,16 Games,,,,,2-14-0,181,109,1407,12.91,5,5,30,0.0,6,0
