
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,7,2013-10-20,25-245,HOU,@,KAN,L 16-17,*,15,25,60.00,271,1,0,110.6,10.84,11.64,3,10,3.33,0,0,0
2,8,2013-11-03,25-259,HOU,,IND,L 24-27,*,20,34,58.82,350,3,0,123.4,10.29,12.06,3,26,8.67,0,0,0
3,9,2013-11-10,25-266,HOU,@,ARI,L 24-27,*,22,43,51.16,201,3,0,87.5,4.67,6.07,2,13,6.50,0,0,0
4,10,2013-11-17,25-273,HOU,,OAK,L 23-28,*,13,24,54.17,170,1,1,73.3,7.08,6.04,0,0,,0,0,0
5,11,2013-11-24,25-280,HOU,,JAX,L 6-13,*,18,34,52.94,169,0,1,54.7,4.97,3.65,1,2,2.00,0,0,0
6,12,2013-12-01,25-287,HOU,,NWE,L 31-34,*,15,30,50.00,272,0,1,67.6,9.07,7.57,3,6,2.00,1,1,6
7,13,2013-12-05,25-291,HOU,@,JAX,L 20-27,*,16,29,55.17,159,1,1,68.0,5.48,4.62,1,13,13.00,0,0,0
8,14,2013-12-15,25-301,HOU,@,IND,L 3-25,*,18,34,52.94,168,0,2,42.3,4.94,2.29,1,2,2.00,0,0,0
,,8 Games,,,,,0-8-0,,137,253,54.15,1760,9,6,78.2,6.96,6.60,14,72,5.14,1,1,6
