
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1,2011-09-11,30-078,HOU,,IND,W 34-7,*,17,24,70.83,220,1,2,78.5,9.17,6.25,4,0,0.00,0,0,0
2,2,2011-09-18,30-085,HOU,@,MIA,W 23-13,*,21,29,72.41,230,2,0,118.5,7.93,9.31,2,2,1.00,0,0,0
3,3,2011-09-25,30-092,HOU,@,NOR,L 33-40,*,22,39,56.41,373,3,1,103.9,9.56,9.95,0,0,,0,0,0
4,4,2011-10-02,30-099,HOU,,PIT,W 17-10,*,14,21,66.67,138,1,0,100.9,6.57,7.52,2,1,0.50,0,0,0
5,5,2011-10-09,30-106,HOU,,OAK,L 20-25,*,24,51,47.06,416,2,2,72.0,8.16,7.18,1,0,0.00,0,0,0
6,6,2011-10-16,30-113,HOU,@,BAL,L 14-29,*,21,37,56.76,220,1,0,83.2,5.95,6.49,1,3,3.00,0,0,0
7,7,2011-10-23,30-120,HOU,@,TEN,W 41-7,*,18,23,78.26,296,2,0,147.7,12.87,14.61,0,0,,0,0,0
8,8,2011-10-30,30-127,HOU,,JAX,W 24-14,*,16,30,53.33,225,1,0,88.9,7.50,8.17,1,2,2.00,1,1,6
9,9,2011-11-06,30-134,HOU,,CLE,W 30-12,*,14,23,60.87,119,0,1,56.3,5.17,3.22,3,0,0.00,1,1,6
10,10,2011-11-13,30-141,HOU,@,TAM,W 37-9,*,11,15,73.33,242,2,0,154.9,16.13,18.80,1,1,1.00,0,0,0
,,10 Games,,,,,7-3-0,,178,292,60.96,2479,15,6,96.8,8.49,8.59,15,9,0.60,2,2,12
