
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2011-09-11,23-021,HOU,,IND,W 34-7,24,116,4.83,1,0,0,0,,0,1,6
2,2,2011-09-18,23-028,HOU,@,MIA,W 23-13,23,103,4.48,0,4,4,32,8.00,0,0,0
3,3,2011-09-25,23-035,HOU,@,NOR,L 33-40,19,82,4.32,0,4,1,8,8.00,0,0,0
4,4,2011-10-02,23-042,HOU,,PIT,W 17-10,2,20,10.00,0,0,0,0,,0,0,0
5,6,2011-10-16,23-056,HOU,@,BAL,L 14-29,9,41,4.56,0,1,0,0,,0,0,0
6,7,2011-10-23,23-063,HOU,@,TEN,W 41-7,15,104,6.93,0,0,0,0,,0,0,0
7,8,2011-10-30,23-070,HOU,,JAX,W 24-14,5,42,8.40,0,0,0,0,,0,0,0
8,9,2011-11-06,23-077,HOU,,CLE,W 30-12,12,115,9.58,1,1,0,0,,0,1,6
9,10,2011-11-13,23-084,HOU,@,TAM,W 37-9,13,63,4.85,1,0,0,0,,0,1,6
10,11,2011-11-27,23-098,HOU,@,JAX,W 20-13,5,26,5.20,0,0,0,0,,0,0,0
11,12,2011-12-04,23-105,HOU,,ATL,W 17-10,11,41,3.73,0,0,0,0,,0,0,0
12,13,2011-12-11,23-112,HOU,@,CIN,W 20-19,8,67,8.38,0,3,3,30,10.00,0,0,0
13,14,2011-12-18,23-119,HOU,,CAR,L 13-28,7,26,3.71,0,1,1,4,4.00,0,0,0
14,15,2011-12-22,23-123,HOU,@,IND,L 16-19,6,-1,-0.17,0,0,0,0,,0,0,0
15,16,2012-01-01,23-133,HOU,,TEN,L 22-23,16,97,6.06,1,5,4,24,6.00,0,1,6
,,15 Games,,,,,10-5-0,175,942,5.38,4,19,13,98,7.54,0,4,24
