
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,2PM,TD,Pts
1,1,2012-09-09,22-244,JAX,@,MIN,L 23-26,6,3,24,8.00,0,0,0,,0,1,0,2
2,2,2012-09-16,22-251,JAX,,HOU,L 7-27,4,0,0,,0,0,0,,0,,0,0
3,3,2012-09-23,22-258,JAX,@,IND,W 22-17,5,1,7,7.00,0,0,0,,0,,0,0
4,4,2012-09-30,22-265,JAX,,CIN,L 10-27,10,6,48,8.00,0,0,0,,0,,0,0
5,5,2012-10-07,22-272,JAX,,CHI,L 3-41,8,3,40,13.33,0,0,0,,0,,0,0
6,6,2012-10-21,22-286,JAX,@,OAK,L 23-26,4,1,7,7.00,0,0,0,,0,,0,0
7,7,2012-10-28,22-293,JAX,@,GNB,L 15-24,8,4,67,16.75,0,0,0,,0,,0,0
8,8,2012-11-04,22-300,JAX,,DET,L 14-31,9,5,32,6.40,1,0,0,,0,,1,6
9,9,2012-11-08,22-304,JAX,,IND,L 10-27,5,3,25,8.33,0,0,0,,0,,0,0
10,10,2012-11-18,22-314,JAX,@,HOU,L 37-43,13,7,236,33.71,1,0,0,,0,,1,6
11,11,2012-11-25,22-321,JAX,,TEN,W 24-19,6,5,62,12.40,1,1,12,12.00,0,,1,6
12,12,2012-12-02,22-328,JAX,@,BUF,L 18-34,6,1,9,9.00,0,0,0,,0,,0,0
13,13,2012-12-09,22-335,JAX,,NYJ,L 10-17,12,6,57,9.50,0,0,0,,0,,0,0
14,14,2012-12-16,22-342,JAX,@,MIA,L 3-24,11,6,93,15.50,0,0,0,,0,,0,0
15,15,2012-12-23,22-349,JAX,,NWE,L 16-23,12,7,79,11.29,1,0,0,,0,,1,6
16,16,2012-12-30,22-356,JAX,@,TEN,L 20-38,13,6,79,13.17,1,1,11,11.00,0,,1,6
,,16 Games,,,,,2-14-0,132,64,865,13.52,5,2,23,11.50,0,1,5,32
