
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,26-172,JAX,,TEN,W 16-14,24,97,4.04,1,0,0,0,,0,1,6,0.0,0,0
2,2,2011-09-18,26-179,JAX,@,NYJ,L 3-32,18,88,4.89,0,4,3,19,6.33,0,0,0,0.0,0,0
3,3,2011-09-25,26-186,JAX,@,CAR,L 10-16,24,122,5.08,0,3,3,45,15.00,0,0,0,0.0,0,0
4,4,2011-10-02,26-193,JAX,,NOR,L 10-23,11,84,7.64,0,4,1,3,3.00,0,0,0,0.0,0,0
5,5,2011-10-09,26-200,JAX,,CIN,L 20-30,19,85,4.47,1,0,0,0,,0,1,6,0.0,0,0
6,6,2011-10-16,26-207,JAX,@,PIT,L 13-17,22,96,4.36,0,3,2,8,4.00,0,0,0,0.0,0,0
7,7,2011-10-24,26-215,JAX,,BAL,W 12-7,30,105,3.50,0,3,2,-1,-0.50,0,0,0,0.0,1,0
8,8,2011-10-30,26-221,JAX,@,HOU,L 14-24,18,63,3.50,1,4,1,11,11.00,0,1,6,0.0,0,0
9,9,2011-11-13,26-235,JAX,@,IND,W 17-3,25,114,4.56,1,3,3,23,7.67,0,1,6,0.0,0,0
10,10,2011-11-20,26-242,JAX,@,CLE,L 10-14,21,87,4.14,1,6,4,31,7.75,0,1,6,0.0,0,0
11,11,2011-11-27,26-249,JAX,,HOU,L 13-20,18,99,5.50,0,6,4,67,16.75,0,0,0,0.0,0,0
12,12,2011-12-05,26-257,JAX,,SDG,L 14-38,20,97,4.85,0,8,6,91,15.17,1,1,6,0.0,0,0
13,13,2011-12-11,26-263,JAX,,TAM,W 41-14,27,85,3.15,2,6,6,51,8.50,2,4,24,0.0,0,0
14,14,2011-12-15,26-267,JAX,@,ATL,L 14-41,17,112,6.59,0,1,1,1,1.00,0,0,0,0.0,0,0
15,15,2011-12-24,26-276,JAX,@,TEN,L 17-23,24,103,4.29,1,10,6,21,3.50,0,1,6,0.0,0,0
16,16,2012-01-01,26-284,JAX,,IND,W 19-13,25,169,6.76,0,3,1,4,4.00,0,0,0,0.0,0,0
,,16 Games,,,,,5-11-0,343,1606,4.68,8,64,43,374,8.70,3,11,66,0.0,1,0
