
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
1,2,2011-09-18,21-338,JAX,@,NYJ,L 3-32,,5,6,83.33,52,0,0,102.8,8.67,8.67,1,1,1.00,0,0.0,0,0
2,3,2011-09-25,21-345,JAX,@,CAR,L 10-16,*,12,21,57.14,139,1,1,73.3,6.62,5.43,4,2,0.50,0,0.0,0,0
3,4,2011-10-02,21-352,JAX,,NOR,L 10-23,*,16,42,38.10,196,1,1,51.3,4.67,4.07,2,14,7.00,0,0.0,0,0
4,5,2011-10-09,21-359,JAX,,CIN,L 20-30,*,15,28,53.57,221,1,0,91.5,7.89,8.61,5,11,2.20,0,0.0,1,0
5,6,2011-10-16,22-001,JAX,@,PIT,L 13-17,*,12,26,46.15,109,1,0,70.8,4.19,4.96,3,16,5.33,0,0.0,0,0
6,7,2011-10-24,22-009,JAX,,BAL,W 12-7,*,9,20,45.00,93,0,0,59.0,4.65,4.65,5,-1,-0.20,0,0.0,0,0
7,8,2011-10-30,22-015,JAX,@,HOU,L 14-24,*,10,30,33.33,97,1,2,26.7,3.23,0.90,4,14,3.50,0,0.0,0,0
8,9,2011-11-13,22-029,JAX,@,IND,W 17-3,*,14,21,66.67,118,1,1,77.1,5.62,4.43,6,8,1.33,0,0.0,0,0
9,10,2011-11-20,22-036,JAX,@,CLE,L 10-14,*,22,41,53.66,210,0,0,68.1,5.12,5.12,2,10,5.00,0,0.0,0,0
10,11,2011-11-27,22-043,JAX,,HOU,L 13-20,*,13,29,44.83,136,0,1,44.6,4.69,3.14,1,1,1.00,0,0.0,0,0
11,12,2011-12-05,22-051,JAX,,SDG,L 14-38,*,19,33,57.58,195,2,1,82.3,5.91,5.76,6,19,3.17,0,0.0,0,0
12,13,2011-12-11,22-057,JAX,,TAM,W 41-14,*,19,33,57.58,217,2,2,72.4,6.58,5.06,4,-3,-0.75,0,0.0,0,0
13,14,2011-12-15,22-061,JAX,@,ATL,L 14-41,*,12,22,54.55,141,1,1,70.5,6.41,5.27,1,5,5.00,0,0.0,0,0
14,15,2011-12-24,22-070,JAX,@,TEN,L 17-23,*,21,42,50.00,198,0,1,53.5,4.71,3.64,1,4,4.00,0,0.0,0,0
15,16,2012-01-01,22-078,JAX,,IND,W 19-13,*,11,19,57.89,92,1,0,88.0,4.84,5.89,3,-3,-1.00,0,0.0,0,0
,,15 Games,,,,,4-11-0,,210,413,50.85,2214,12,11,65.4,5.36,4.74,48,98,2.04,0,0.0,1,0
