
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1,2012-09-09,22-330,JAX,@,MIN,L 23-26,*,23,39,58.97,260,2,0,96.1,6.67,7.69,5,6,1.20,0
2,2,2012-09-16,22-337,JAX,,HOU,L 7-27,*,7,19,36.84,53,1,0,62.8,2.79,3.84,1,5,5.00,0
3,3,2012-09-23,22-344,JAX,@,IND,W 22-17,*,10,21,47.62,155,1,0,88.4,7.38,8.33,2,11,5.50,0
4,4,2012-09-30,22-351,JAX,,CIN,L 10-27,*,23,34,67.65,186,1,1,78.8,5.47,4.74,3,19,6.33,0
5,5,2012-10-07,22-358,JAX,,CHI,L 3-41,*,17,33,51.52,142,0,2,37.7,4.30,1.58,2,1,0.50,0
6,6,2012-10-21,23-006,JAX,@,OAK,L 23-26,*,8,12,66.67,110,1,0,123.6,9.17,10.83,0,0,,0
7,7,2012-10-28,23-013,JAX,@,GNB,L 15-24,*,27,49,55.10,303,1,0,80.6,6.18,6.59,1,0,0.00,0
8,8,2012-11-04,23-020,JAX,,DET,L 14-31,*,27,38,71.05,220,2,2,81.0,5.79,4.47,3,4,1.33,0
9,9,2012-11-08,23-024,JAX,,IND,L 10-27,*,18,31,58.06,209,0,1,65.1,6.74,5.29,1,10,10.00,0
10,10,2012-11-18,23-034,JAX,@,HOU,L 37-43,*,2,2,100.00,24,0,0,116.7,12.00,12.00,0,0,,0
,,10 Games,,,,,1-9-0,,162,278,58.27,1662,9,6,77.4,5.98,5.65,18,56,3.11,0
