
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2,2012-09-16,27-076,JAX,,HOU,L 7-27,,2,2,100.00,23,0,0,114.6,11.50,11.50,1,0,0.00,0,0,0,0,,0,0,0
2,6,2012-10-21,27-111,JAX,@,OAK,L 23-26,,9,20,45.00,71,0,0,54.4,3.55,3.55,3,4,1.33,0,0,0,0,,0,0,0
3,9,2012-11-08,27-129,JAX,,IND,L 10-27,,10,16,62.50,121,1,1,80.5,7.56,6.00,0,0,,0,0,0,0,,0,0,0
4,10,2012-11-18,27-139,JAX,@,HOU,L 37-43,,16,33,48.48,354,4,0,126.8,10.73,13.15,2,7,3.50,0,0,0,0,,0,0,0
5,11,2012-11-25,27-146,JAX,,TEN,W 24-19,*,17,26,65.38,261,2,1,108.0,10.04,9.85,2,0,0.00,0,0,0,0,,0,0,0
6,12,2012-12-02,27-153,JAX,@,BUF,L 18-34,*,19,42,45.24,202,1,1,57.8,4.81,4.21,3,1,0.33,1,0,1,-6,-6.00,0,1,6
7,13,2012-12-09,27-160,JAX,,NYJ,L 10-17,*,21,43,48.84,185,0,2,41.3,4.30,2.21,1,1,1.00,0,0,0,0,,0,0,0
8,14,2012-12-16,27-167,JAX,@,MIA,L 3-24,*,18,34,52.94,221,0,0,73.3,6.50,6.50,3,16,5.33,0,0,0,0,,0,0,0
9,15,2012-12-23,27-174,JAX,,NWE,L 16-23,*,29,51,56.86,348,1,3,59.9,6.82,4.57,2,22,11.00,0,0,0,0,,0,0,0
10,16,2012-12-30,27-181,JAX,@,TEN,L 20-38,*,25,41,60.98,298,2,3,69.0,7.27,4.95,2,13,6.50,0,0,0,0,,0,0,0
,,10 Games,,,,,1-9-0,,166,308,53.90,2084,11,11,72.2,6.77,5.87,19,64,3.37,1,0,1,-6,-6.00,0,1,6
