
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,4,2013-09-29,29-133,JAX,,IND,L 3-37,,,,,,,,,,
2,7,2013-10-20,29-154,JAX,,SDG,L 6-24,3,1,31,31.00,0,0,0,0.0,0,0
3,8,2013-10-27,29-161,JAX,,SFO,L 10-42,3,1,6,6.00,0,0,0,0.0,0,0
4,9,2013-11-10,29-175,JAX,@,TEN,W 29-27,6,3,39,13.00,0,0,0,0.0,1,0
5,10,2013-11-17,29-182,JAX,,ARI,L 14-27,7,3,23,7.67,0,0,0,0.0,0,0
6,11,2013-11-24,29-189,JAX,@,HOU,W 13-6,1,1,18,18.00,0,0,0,0.0,0,0
7,12,2013-12-01,29-196,JAX,@,CLE,W 32-28,4,3,26,8.67,1,1,6,0.0,0,0
8,13,2013-12-05,29-200,JAX,,HOU,W 27-20,4,2,42,21.00,1,1,6,0.0,0,0
9,14,2013-12-15,29-210,JAX,,BUF,L 20-27,7,4,54,13.50,1,1,6,0.0,0,0
10,15,2013-12-22,29-217,JAX,,TEN,L 16-20,6,4,50,12.50,1,1,6,0.0,1,0
11,16,2013-12-29,29-224,JAX,@,IND,L 10-30,6,3,70,23.33,0,0,0,0.0,0,0
,,11 Games,,,,,4-7-0,47,25,359,14.36,4,4,24,0.0,2,0
