
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,21-014,JAX,@,PHI,L 17-34,3,1,0,0.00,0,,0,0,0.0,0,0
2,2,2014-09-14,21-021,JAX,@,WAS,L 10-41,6,4,75,18.75,0,,0,0,0.0,0,0
3,3,2014-09-21,21-028,JAX,,IND,L 17-44,10,7,79,11.29,0,,0,0,0.0,1,0
4,4,2014-09-28,21-035,JAX,@,SDG,L 14-33,7,5,38,7.60,0,,0,0,0.0,0,0
5,5,2014-10-05,21-042,JAX,,PIT,L 9-17,11,5,51,10.20,0,,0,0,0.0,1,0
6,6,2014-10-12,21-049,JAX,@,TEN,L 14-16,9,8,68,8.50,0,,0,0,0.0,0,0
7,7,2014-10-19,21-056,JAX,,CLE,W 24-6,7,4,60,15.00,1,,1,6,0.0,0,0
8,8,2014-10-26,21-063,JAX,,MIA,L 13-27,10,5,82,16.40,1,,1,6,0.0,0,0
9,9,2014-11-02,21-070,JAX,@,CIN,L 23-33,8,4,35,8.75,0,,0,0,0.0,0,0
10,10,2014-11-09,21-077,JAX,,DAL,L 17-31,10,5,60,12.00,0,1,0,2,0.0,0,0
,,10 Games,,,,,1-9-0,81,48,548,11.42,2,1,2,14,0.0,2,0
