
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,23-350,JAX,@,PHI,L 17-34,3,8,2.67,0,1,1,3,3.00,0,0,0,,0,0,0,,,,0,0,0.0,0,0
2,2,2014-09-14,23-357,JAX,@,WAS,L 10-41,0,0,,0,2,2,14,7.00,0,0,0,,0,0,0,,,,0,0,0.0,0,0
3,3,2014-09-21,23-364,JAX,,IND,L 17-44,8,33,4.13,0,1,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
4,4,2014-09-28,24-006,JAX,@,SDG,L 14-33,9,25,2.78,0,3,3,7,2.33,0,0,0,,0,0,0,,,,0,0,0.0,0,0
5,5,2014-10-05,24-013,JAX,,PIT,L 9-17,3,6,2.00,0,2,2,-1,-0.50,0,0,0,,0,0,0,,,,0,0,0.0,0,0
6,6,2014-10-12,24-020,JAX,@,TEN,L 14-16,5,22,4.40,0,3,3,14,4.67,0,0,0,,0,0,0,,,,0,0,0.0,0,0
7,7,2014-10-19,24-027,JAX,,CLE,W 24-6,22,127,5.77,1,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,1,0
8,8,2014-10-26,24-034,JAX,,MIA,L 13-27,18,108,6.00,0,2,1,10,10.00,0,0,0,,0,0,0,,,,0,0,0.0,1,0
9,9,2014-11-02,24-041,JAX,@,CIN,L 23-33,17,94,5.53,1,2,2,10,5.00,0,0,0,,0,0,0,,,,1,6,0.0,0,0
10,10,2014-11-09,24-048,JAX,,DAL,L 17-31,15,60,4.00,2,3,2,10,5.00,0,0,0,,0,0,0,,,,2,12,0.0,1,0
11,11,2014-11-23,24-062,JAX,@,IND,L 3-23,14,25,1.79,0,5,4,47,11.75,0,0,0,,0,0,0,,,,0,0,0.0,0,0
12,12,2014-11-30,24-069,JAX,,NYG,W 25-24,11,44,4.00,0,4,3,10,3.33,0,0,0,,0,0,0,,,,0,0,0.0,0,0
13,13,2014-12-07,24-076,JAX,,HOU,L 13-27,10,30,3.00,0,2,0,0,,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,0.0,0,0
,,13 Games,,,,,2-11-0,135,582,4.31,4,31,23,124,5.39,0,0,1,0.00,0,0,0,39.6,0.00,0.00,4,24,0.0,3,0
