
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2013-09-08,25-260,JAX,,KAN,L 2-28,11,3,40,13.33,0,0,0
2,2,2013-09-15,25-267,JAX,@,OAK,L 9-19,14,8,93,11.63,0,0,0
3,3,2013-09-22,25-274,JAX,@,SEA,L 17-45,15,8,143,17.88,0,0,0
4,4,2013-09-29,25-281,JAX,,IND,L 3-37,12,7,61,8.71,0,0,0
5,5,2013-10-06,25-288,JAX,@,STL,L 20-34,10,5,74,14.80,1,1,6
6,6,2013-10-13,25-295,JAX,@,DEN,L 19-35,1,0,0,,0,0,0
7,7,2013-10-20,25-302,JAX,,SDG,L 6-24,13,8,80,10.00,0,0,0
8,8,2013-10-27,25-309,JAX,,SFO,L 10-42,10,7,74,10.57,0,0,0
9,9,2013-11-10,25-323,JAX,@,TEN,W 29-27,4,2,42,21.00,0,0,0
10,10,2013-11-17,25-330,JAX,,ARI,L 14-27,5,2,22,11.00,0,0,0
11,11,2013-11-24,25-337,JAX,@,HOU,W 13-6,11,8,71,8.88,0,0,0
12,12,2013-12-01,25-344,JAX,@,CLE,W 32-28,11,6,64,10.67,1,1,6
13,13,2013-12-05,25-348,JAX,,HOU,W 27-20,6,2,13,6.50,1,1,6
,,13 Games,,,,,4-9-0,123,66,777,11.77,3,3,18
