
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,26-355,KAN,,BUF,L 7-41,8,2,17,8.50,0,0,0,,0,0,0,0.0,0,0
2,2,2011-09-18,26-362,KAN,@,DET,L 3-48,8,5,101,20.20,0,1,12,12.00,0,0,0,0.0,0,0
3,3,2011-09-25,27-004,KAN,@,SDG,L 17-20,6,4,67,16.75,1,0,0,,0,1,6,0.0,0,0
4,4,2011-10-02,27-011,KAN,,MIN,W 22-17,9,5,107,21.40,1,0,0,,0,1,6,0.0,0,0
5,5,2011-10-09,27-018,KAN,@,IND,W 28-24,11,7,128,18.29,2,0,0,,0,2,12,0.0,0,0
6,6,2011-10-23,27-032,KAN,@,OAK,W 28-0,10,6,76,12.67,0,0,0,,0,0,0,0.0,1,0
7,7,2011-10-31,27-040,KAN,,SDG,W 23-20,11,4,62,15.50,0,0,0,,0,0,0,0.0,0,0
8,8,2011-11-06,27-046,KAN,,MIA,L 3-31,10,6,88,14.67,0,0,0,,0,0,0,0.0,0,0
9,9,2011-11-13,27-053,KAN,,DEN,L 10-17,7,2,17,8.50,0,0,0,,0,0,0,0.0,0,0
10,10,2011-11-21,27-061,KAN,@,NWE,L 3-34,9,7,87,12.43,0,0,0,,0,0,0,0.0,0,0
11,11,2011-11-27,27-067,KAN,,PIT,L 9-13,11,7,69,9.86,0,0,0,,0,0,0,0.0,0,0
12,12,2011-12-04,27-074,KAN,@,CHI,W 10-3,9,4,49,12.25,0,0,0,,0,0,0,0.0,0,0
13,13,2011-12-11,27-081,KAN,@,NYJ,L 10-37,10,6,69,11.50,0,0,0,,0,0,0,0.0,0,0
14,14,2011-12-18,27-088,KAN,,GNB,W 19-14,5,4,49,12.25,0,0,0,,0,0,0,0.0,0,0
15,15,2011-12-24,27-094,KAN,,OAK,L 13-16,11,6,80,13.33,1,0,0,,0,1,6,0.0,0,0
16,16,2012-01-01,27-102,KAN,@,DEN,W 7-3,7,6,93,15.50,0,0,0,,0,0,0,0.0,0,0
,,16 Games,,,,,7-9-0,142,81,1159,14.31,5,1,12,12.00,0,5,30,0.0,1,0
