
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,28-352,KAN,@,JAX,W 28-2,6,4,30,7.50,0,0,0,0.0,0,0
2,2,2013-09-15,28-359,KAN,,DAL,W 17-16,8,4,56,14.00,1,1,6,0.0,0,0
3,3,2013-09-19,28-363,KAN,@,PHI,W 26-16,3,1,4,4.00,0,0,0,0.0,0,0
4,4,2013-09-29,29-008,KAN,,NYG,W 31-7,7,4,58,14.50,1,1,6,0.0,1,0
5,5,2013-10-06,29-015,KAN,@,TEN,W 26-17,6,4,35,8.75,0,0,0,0.0,0,0
6,6,2013-10-13,29-022,KAN,,OAK,W 24-7,4,3,46,15.33,0,0,0,0.0,0,0
7,7,2013-10-20,29-029,KAN,,HOU,W 17-16,9,5,66,13.20,0,0,0,0.0,0,0
8,8,2013-10-27,29-036,KAN,,CLE,W 23-17,2,1,7,7.00,0,0,0,0.0,0,0
9,9,2013-11-03,29-043,KAN,@,BUF,W 23-13,12,7,67,9.57,0,0,0,0.0,0,0
10,10,2013-11-17,29-057,KAN,@,DEN,L 17-27,14,4,57,14.25,1,1,6,0.0,0,0
11,11,2013-11-24,29-064,KAN,,SDG,L 38-41,6,5,51,10.20,1,1,6,0.0,0,0
12,12,2013-12-01,29-071,KAN,,DEN,L 28-35,7,3,56,18.67,0,0,0,0.0,0,0
13,13,2013-12-08,29-078,KAN,@,WAS,W 45-10,5,4,70,17.50,1,1,6,0.0,0,0
14,14,2013-12-15,29-085,KAN,@,OAK,W 56-31,4,3,24,8.00,0,0,0,0.0,0,0
15,15,2013-12-22,29-092,KAN,,IND,L 7-23,10,5,46,9.20,0,0,0,0.0,0,0
,,15 Games,,,,,11-4-0,103,57,673,11.81,5,5,30,0.0,1,0
