
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,28-022,KAN,,BUF,L 7-41,2,2,26,13.00,0,0,0,,0,0,0,0.0,0,0
2,2,2011-09-18,28-029,KAN,@,DET,L 3-48,2,1,7,7.00,0,0,0,,0,0,0,0.0,0,0
3,3,2011-09-25,28-036,KAN,@,SDG,L 17-20,6,3,55,18.33,0,0,0,,0,0,0,0.0,0,0
4,4,2011-10-02,28-043,KAN,,MIN,W 22-17,5,4,91,22.75,0,0,0,,0,0,0,0.0,0,0
5,5,2011-10-09,28-050,KAN,@,IND,W 28-24,5,4,50,12.50,2,0,0,,0,2,12,0.0,0,0
6,6,2011-10-23,28-064,KAN,@,OAK,W 28-0,9,5,64,12.80,0,0,0,,0,0,0,0.0,0,0
7,7,2011-10-31,28-072,KAN,,SDG,W 23-20,4,3,42,14.00,0,0,0,,0,0,0,0.0,0,0
8,8,2011-11-06,28-078,KAN,,MIA,L 3-31,11,7,115,16.43,0,0,0,,0,0,0,0.0,0,0
9,9,2011-11-13,28-085,KAN,,DEN,L 10-17,6,4,33,8.25,0,0,0,,0,0,0,0.0,0,0
10,10,2011-11-21,28-093,KAN,@,NWE,L 3-34,8,6,73,12.17,0,0,0,,0,0,0,0.0,0,0
11,11,2011-11-27,28-099,KAN,,PIT,L 9-13,8,4,44,11.00,0,0,0,,0,0,0,0.0,0,0
12,12,2011-12-04,28-106,KAN,@,CHI,W 10-3,7,5,41,8.20,0,0,0,,0,0,0,0.0,0,0
13,13,2011-12-11,28-113,KAN,@,NYJ,L 10-37,6,4,44,11.00,0,0,0,,0,0,0,0.0,1,0
14,14,2011-12-18,28-120,KAN,,GNB,W 19-14,6,4,50,12.50,0,1,25,25.00,0,0,0,0.0,0,0
15,15,2011-12-24,28-126,KAN,,OAK,L 13-16,8,4,41,10.25,0,0,0,,0,0,0,0.0,0,0
16,16,2012-01-01,28-134,KAN,@,DEN,W 7-3,5,1,9,9.00,0,0,0,,0,0,0,0.0,0,0
,,16 Games,,,,,7-9-0,98,61,785,12.87,2,1,25,25.00,0,2,12,0.0,1,0
