
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1,2012-09-09,30-115,KAN,,ATL,L 24-40,*,21,33,63.64,258,1,2,72.5,7.82,5.70,4,20,5.00,1,1,6
2,2,2012-09-16,30-122,KAN,@,BUF,L 17-35,*,23,42,54.76,301,2,1,83.5,7.17,7.05,2,25,12.50,0,0,0
3,3,2012-09-23,30-129,KAN,@,NOR,W 27-24,*,26,44,59.09,248,0,1,65.3,5.64,4.61,1,2,2.00,0,0,0
4,4,2012-09-30,30-136,KAN,,SDG,L 20-37,*,24,42,57.14,251,2,3,60.7,5.98,3.71,0,0,,0,0,0
5,5,2012-10-07,30-143,KAN,,BAL,L 6-9,*,9,15,60.00,92,0,2,38.1,6.13,0.13,4,14,3.50,0,0,0
6,7,2012-10-28,30-164,KAN,,OAK,L 16-26,,20,30,66.67,218,1,1,85.1,7.27,6.43,7,35,5.00,0,0,0
7,8,2012-11-01,30-168,KAN,@,SDG,L 13-31,*,19,29,65.52,181,0,1,68.3,6.24,4.69,6,37,6.17,0,0,0
8,9,2012-11-12,30-179,KAN,@,PIT,L 13-16,*,11,26,42.31,154,0,1,46.0,5.92,4.19,2,12,6.00,0,0,0
9,10,2012-11-18,30-185,KAN,,CIN,L 6-28,*,8,16,50.00,93,0,0,68.0,5.81,5.81,1,0,0.00,0,0,0
,,9 Games,,,,,1-8-0,,161,277,58.12,1796,6,12,66.7,6.48,4.97,27,145,5.37,1,1,6
